Country,Population,GDP_per_capita,Android,iOS,Samsung,KaiOS,Windows,Others
Afghanistan,38928341,516.75,90.64,8.96,0.08,0.00,0.03,0.30
Albania,28778,517326.75,63.78,35.71,0.29,0.00,0.08,0.12
Algeria,43851043,3306.86,95.80,3.86,0.08,0.00,0.11,0.15
Angola,32866268,1776.17,83.98,13.93,0.18,0.00,0.17,1.74
Argentina,45195777,8613.37,91.90,7.72,0.11,0.00,0.21,0.07
Armenia,2963234,4266.02,73.51,26.06,0.08,0.00,0.14,0.20
Australia,25499881,52072.25,46.28,53.37,0.27,0.00,0.04,0.05
Austria,90064,4810562.13,67.65,31.74,0.54,0.00,0.04,0.03
Azerbaijan,10139175,4202.23,85.47,13.74,0.45,0.00,0.13,0.20
Bahamas,393248,25194.03,68.87,31.01,0.10,0.00,0.01,0.01
Bangladesh,164689383,1961.61,95.75,2.76,0.10,0.00,0.13,1.26
Belarus,9449321,6376.99,84.97,14.53,0.17,0.00,0.20,0.14
Belgium,11589616,45028.35,63.96,35.68,0.25,0.00,0.04,0.06
Belize,397621,4115.18,78.52,21.03,0.22,0.00,0.19,0.05
Benin,12123198,1291.04,86.81,6.97,0.11,0.06,0.15,5.90
Bhutan,771612,3000.78,87.61,12.23,0.07,0.00,0.02,0.07
Bolivia,11673029,3133.10,94.49,5.07,0.25,0.00,0.06,0.13
Bosnia-and-Herzegovina,3280815,6079.74,91.33,8.48,0.06,0.00,0.11,0.02
Botswana,2351625,6404.90,88.53,10.71,0.17,0.02,0.13,0.44
Brazil,212559409,6796.84,86.22,13.53,0.13,0.00,0.07,0.05
Brunei-Darussalam,437483,27442.95,75.09,24.22,0.59,0.00,0.03,0.07
Bulgaria,6948445,10058.27,86.49,13.10,0.25,0.00,0.09,0.07
Burkina-Faso,20903278,857.93,88.00,5.57,0.31,0.01,0.05,6.06
Burundi,11890781,238.99,79.58,4.48,0.07,0.02,0.12,15.73
Cambodia,16718971,1543.67,59.08,40.42,0.25,0.00,0.10,0.16
Cameroon,26545864,1537.13,87.95,6.38,0.08,0.14,0.28,5.16
Canada,37742157,43596.43,48.65,50.98,0.24,0.00,0.02,0.10
Central-African-Republic,4829764,492.80,89.50,4.75,0.08,0.11,0.05,5.51
Chad,16425859,659.27,89.76,7.70,0.07,0.08,0.04,2.34
Chile,19116209,13231.70,85.38,14.27,0.31,0.00,0.01,0.03
China,1439323774,10228.92,80.50,18.54,0.00,0.00,0.04,0.92
Colombia,50882884,5334.56,88.79,10.56,0.53,0.00,0.06,0.06
Congo,5518092,1846.13,88.83,8.31,0.14,0.65,0.20,1.87
Costa-Rica,5094114,12140.85,80.86,18.86,0.17,0.00,0.04,0.07
Croatia,4105268,13934.24,88.14,11.52,0.22,0.00,0.09,0.03
Cuba,11326616,9477.85,88.56,11.25,0.05,0.00,0.06,0.09
Cyprus,1207361,20385.49,77.40,22.37,0.15,0.00,0.04,0.04
Czech-Republic,10708982,22909.68,78.82,20.79,0.18,0.00,0.10,0.11
Côte-d'Ivoire,26378275,2325.72,81.64,15.03,0.07,0.03,0.08,3.15
Democratic-Republic-of-the-Congo,89561404,543.95,76.59,7.42,0.35,0.11,0.17,15.36
Denmark,5792203,61476.59,44.80,55.02,0.14,0.00,0.03,0.01
Djibouti,988002,3425.48,89.92,9.82,0.08,0.00,0.03,0.14
Dominican-Republic,10847904,7268.20,74.92,24.81,0.18,0.00,0.06,0.03
Ecuador,1764306,56003.90,87.31,11.97,0.51,0.00,0.11,0.11
Egypt,102334403,3569.21,88.16,11.59,0.08,0.00,0.10,0.07
El-Salvador,6486201,3798.64,89.47,10.21,0.19,0.00,0.05,0.09
Equatorial-Guinea,1402985,7143.24,86.70,12.50,0.48,0.00,0.09,0.23
Eritrea,3546427,582.28,91.00,5.62,0.04,0.00,0.08,3.27
Estonia,1326539,23105.45,67.86,31.40,0.63,0.00,0.05,0.07
Ethiopia,114963583,936.34,88.26,5.17,0.19,0.00,0.10,6.28
Fiji,896444,5057.63,92.72,7.14,0.05,0.00,0.04,0.05
Finland,5540718,48657.02,71.64,28.01,0.18,0.01,0.08,0.06
France,65273512,40296.86,70.63,29.02,0.15,0.00,0.07,0.12
Gabon,2225728,6881.72,90.89,7.76,0.17,0.00,0.29,0.88
Gambia,2416664,773.00,82.10,16.58,0.20,0.00,0.31,0.80
Georgia,3989175,3972.37,77.79,20.98,0.95,0.00,0.18,0.10
Germany,83783945,45908.72,69.08,30.28,0.47,0.00,0.07,0.11
Ghana,31072945,2205.53,84.67,12.82,0.08,0.02,0.46,1.96
Greece,10423056,18117.07,84.59,13.25,1.09,0.00,0.21,0.86
Greenland,56772,52530.25,56.34,43.47,0.13,0.00,0.01,0.05
Guatemala,17915567,4331.69,87.47,12.31,0.15,0.00,0.02,0.04
Guinea,13132792,1194.04,75.92,6.20,0.90,0.06,0.08,16.82
Guinea-Bissau,1967998,727.52,92.13,4.20,0.08,0.03,0.09,3.48
Guyana,786559,6955.94,84.91,14.44,0.50,0.00,0.03,0.13
Haiti,11402533,1272.37,90.12,9.72,0.03,0.00,0.05,0.09
Honduras,9904608,2389.01,84.26,15.28,0.33,0.00,0.05,0.08
Hungary,966035,161286.53,79.70,19.31,0.81,0.00,0.12,0.06
Iceland,34125,636427.13,52.55,47.30,0.11,0.00,0.01,0.02
India,1380004385,1927.71,95.24,3.22,0.15,1.09,0.04,0.26
Indonesia,273523621,3869.59,92.16,7.60,0.07,0.00,0.03,0.14
Iran,83992953,2422.48,89.89,9.83,0.10,0.00,0.04,0.14
Iraq,40222503,4145.86,81.93,17.92,0.09,0.00,0.02,0.04
Ireland,4937796,86250.82,58.07,41.65,0.11,0.00,0.03,0.13
Israel,8655541,47033.54,77.12,22.72,0.09,0.00,0.02,0.04
Italy,60461828,31238.05,74.51,25.14,0.25,0.00,0.06,0.03
Jamaica,2961161,4664.53,77.54,22.20,0.12,0.01,0.05,0.07
Japan,126476458,39989.73,36.29,63.54,0.02,0.00,0.00,0.15
Jordan,1020314,42827.66,84.80,15.08,0.07,0.00,0.03,0.03
Kazakhstan,18776707,9111.42,79.03,20.65,0.12,0.00,0.04,0.15
Kenya,537713,187858.07,88.32,4.56,0.24,0.00,0.24,6.65
Kuwait,4270563,24811.77,63.36,36.41,0.19,0.00,0.01,0.03
Kyrgyzstan,6524191,1185.74,88.24,11.62,0.03,0.00,0.02,0.07
Lao-People's-Democratic-Republic,7275556,2629.71,77.30,21.82,0.11,0.00,0.68,0.09
Latvia,1886202,17870.47,74.52,25.14,0.22,0.00,0.06,0.07
Lebanon,6825442,4649.55,80.68,19.17,0.10,0.00,0.02,0.03
Lesotho,2142252,875.35,94.67,3.17,0.05,0.00,0.22,1.89
Liberia,5057677,632.94,88.00,6.53,0.04,0.30,0.08,5.05
Libya,6871287,3699.29,90.28,9.35,0.07,0.00,0.02,0.28
Lithuania,2722291,20771.83,76.42,23.18,0.16,0.00,0.13,0.11
Luxembourg,625976,117182.02,57.39,41.93,0.54,0.00,0.02,0.12
North-Macedonia,208338,58864.49,84.54,15.19,0.16,0.00,0.07,0.04
Madagascar,27691019,471.49,79.49,8.17,0.29,0.30,0.54,11.21
Malawi,19129955,636.82,88.97,5.87,0.05,0.02,0.41,4.69
Malaysia,32365998,10412.35,78.48,20.51,0.96,0.00,0.00,0.06
Mali,20250834,862.45,88.70,8.34,0.38,0.07,0.15,2.34
Mauritania,464966,17019.91,89.51,10.07,0.07,0.00,0.04,0.31
Mexico,128932753,8329.27,84.31,15.38,0.14,0.00,0.07,0.10
Republic-of-Moldova,4033963,2953.81,84.59,14.88,0.28,0.00,0.15,0.10
Mongolia,3278292,4060.95,72.96,26.73,0.24,0.00,0.02,0.04
Montenegro,628062,7594.57,85.31,14.48,0.12,0.00,0.05,0.04
Morocco,36910558,3108.19,81.44,18.11,0.23,0.00,0.11,0.11
Mozambique,31255435,448.54,88.02,7.40,0.08,0.00,0.22,4.27
Myanmar,54409794,1467.60,89.28,10.56,0.08,0.00,0.00,0.09
Cyprus,1207361,20385.49,77.40,22.37,0.15,0.00,0.04,0.04
Namibia,2540916,4179.28,88.01,11.31,0.14,0.00,0.09,0.44
Nepal,29136808,1155.14,92.59,7.21,0.05,0.00,0.03,0.12
Netherlands,17134873,53333.65,60.64,38.89,0.12,0.00,0.04,0.32
New-Caledonia,285491,33059.28,71.94,27.44,0.15,0.00,0.42,0.05
New-Zealand,4822233,43693.63,58.23,41.42,0.21,0.00,0.06,0.08
Nicaragua,6624554,1905.26,90.46,9.11,0.16,0.00,0.10,0.18
Niger,24206636,567.67,92.64,4.46,0.04,0.01,0.07,2.78
Nigeria,206139587,2097.09,85.18,7.25,0.03,0.04,0.10,7.41
Norway,5421242,66810.95,44.27,55.52,0.17,0.00,0.02,0.02
Oman,5106622,14485.39,85.34,14.38,0.24,0.00,0.02,0.02
Pakistan,220892331,1188.86,94.63,4.53,0.04,0.08,0.08,0.65
Panama,4314768,12509.84,83.95,15.75,0.21,0.01,0.01,0.06
Papua-New-Guinea,8947027,2757.22,94.54,4.64,0.03,0.20,0.14,0.45
Paraguay,713253,50010.73,94.16,5.66,0.09,0.00,0.02,0.06
Peru,32971846,6126.87,90.90,8.31,0.64,0.00,0.08,0.07
Philippines,109581085,3298.83,83.92,15.76,0.21,0.00,0.03,0.08
Poland,37846605,15764.28,94.10,5.28,0.11,0.00,0.32,0.19
Portugal,10196707,22413.04,76.94,22.81,0.13,0.00,0.07,0.05
Puerto-Rico,286084,360517.54,59.79,39.96,0.20,0.00,0.01,0.03
Qatar,288106,501243.86,79.02,20.80,0.07,0.00,0.00,0.10
Romania,19237682,12928.56,81.33,18.16,0.34,0.00,0.06,0.10
Russian-Federation,14593446,101655.07,75.00,24.53,0.13,0.00,0.23,0.12
Rwanda,12952209,797.86,83.92,8.86,0.16,0.41,0.08,6.57
South-Sudan,11193729,1071.83,73.10,26.25,0.21,0.15,0.06,0.23
Saudi-Arabia,34813867,20110.32,61.49,38.39,0.08,0.00,0.00,0.04
Senegal,1674393,14718.31,86.66,12.82,0.10,0.00,0.20,0.23
Serbia,873737,61042.41,89.35,10.21,0.10,0.00,0.23,0.12
Sierra-Leone,7976985,509.38,80.93,6.16,0.04,0.00,0.20,12.67
Slovakia,5459643,19263.63,79.51,19.64,0.69,0.00,0.07,0.08
Slovenia,2078932,25777.47,82.47,17.22,0.19,0.00,0.08,0.04
Solomon-Islands,686878,2250.60,91.67,7.68,0.02,0.00,0.09,0.54
Somalia,15893219,438.26,93.27,6.05,0.12,0.00,0.07,0.49
South-Africa,5930869,56558.68,84.30,15.07,0.06,0.02,0.05,0.50
Republic-of-Korea,51269183,31946.98,75.90,23.98,0.09,0.00,0.01,0.02
Spain,46754783,27408.63,79.66,20.06,0.23,0.00,0.01,0.04
Sri-Lanka,2141325,37676.06,89.43,9.98,0.06,0.00,0.20,0.34
Sudan,43849269,486.42,92.00,5.80,0.04,0.02,0.07,2.08
Suriname,586634,4916.61,83.09,16.63,0.13,0.00,0.09,0.05
Sweden,1009927,535900.18,49.45,50.32,0.18,0.00,0.02,0.02
Switzerland,8654618,86918.69,49.23,50.38,0.31,0.00,0.04,0.05
Syrian-Arab-Republic,17500657,1301.54,96.01,3.54,0.06,0.00,0.05,0.34
Tajikistan,9537642,859.14,89.56,9.41,0.09,0.00,0.08,0.87
United-Republic-of-Tanzania,59734213,1044.79,86.02,8.00,0.04,0.38,0.17,5.39
Thailand,69799978,7186.87,73.84,25.96,0.11,0.00,0.07,0.03
Timor-Leste,1318442,1442.73,94.97,4.90,0.03,0.00,0.00,0.10
Togo,8278737,914.95,89.53,6.73,0.06,0.00,0.51,3.17
Trinidad-and-Tobago,1399491,15425.64,81.11,18.40,0.35,0.00,0.04,0.10
Tunisia,11818618,3521.59,93.05,6.45,0.13,0.00,0.14,0.24
Turkey,84339067,8536.43,84.13,15.49,0.24,0.00,0.03,0.11
Turkmenistan,6031187,7499.59,93.37,6.39,0.10,0.00,0.07,0.07
Uganda,45741,822027.68,79.36,6.68,0.05,0.42,0.30,13.20
Ukraine,43733759,3555.58,80.69,18.84,0.15,0.00,0.15,0.16
United-Arab-Emirates,98904,3628455.52,73.11,26.65,0.13,0.00,0.01,0.10
United-Kingdom,67886004,40653.51,50.10,49.65,0.12,0.00,0.08,0.05
United-States-of-America,331002647,63301.70,40.30,59.51,0.11,0.00,0.02,0.06
Uruguay,3473727,15438.41,85.30,14.51,0.05,0.00,0.11,0.04
Uzbekistan,33469199,1790.60,90.53,8.77,0.09,0.00,0.06,0.54
Vanuatu,30715,28700.89,85.30,13.70,0.02,0.00,0.01,0.97
Venezuela,28435943,16963.01,90.12,8.65,0.17,0.00,0.30,0.76
Viet-Nam,97338583,2785.72,62.69,36.24,0.29,0.00,0.59,0.19
Yemen,29825968,724.41,96.21,2.76,0.04,0.00,0.03,0.96
Zambia,18383956,985.13,88.29,6.38,0.08,0.10,0.53,4.63
Zimbabwe,14862927,1214.51,84.96,10.78,0.08,0.00,0.54,3.64
