Country,Android,iOS,Samsung,KaiOS,Windows,Others,Population,GDP_per_capita
Afghanistan,90.64,8.96,0.08,0.00,0.03,0.30,38928341,516.75
Albania,63.78,35.71,0.29,0.00,0.08,0.12,28778,517326.75
Algeria,95.80,3.86,0.08,0.00,0.11,0.15,43851043,3306.86
Angola,83.98,13.93,0.18,0.00,0.17,1.74,32866268,1776.17
Argentina,91.90,7.72,0.11,0.00,0.21,0.07,45195777,8613.37
Armenia,73.51,26.06,0.08,0.00,0.14,0.20,2963234,4266.02
Australia,46.28,53.37,0.27,0.00,0.04,0.05,25499881,52072.25
Austria,67.65,31.74,0.54,0.00,0.04,0.03,90064,4810562.13
Azerbaijan,85.47,13.74,0.45,0.00,0.13,0.20,10139175,4202.23
Bahamas,68.87,31.01,0.10,0.00,0.01,0.01,393248,25194.03
Bangladesh,95.75,2.76,0.10,0.00,0.13,1.26,164689383,1961.61
Belarus,84.97,14.53,0.17,0.00,0.20,0.14,9449321,6376.99
Belgium,63.96,35.68,0.25,0.00,0.04,0.06,11589616,45028.35
Belize,78.52,21.03,0.22,0.00,0.19,0.05,397621,4115.18
Benin,86.81,6.97,0.11,0.06,0.15,5.90,12123198,1291.04
Bhutan,87.61,12.23,0.07,0.00,0.02,0.07,771612,3000.78
Bolivia,94.49,5.07,0.25,0.00,0.06,0.13,11673029,3133.10
Bosnia-and-Herzegovina,91.33,8.48,0.06,0.00,0.11,0.02,3280815,6079.74
Botswana,88.53,10.71,0.17,0.02,0.13,0.44,2351625,6404.90
Brazil,86.22,13.53,0.13,0.00,0.07,0.05,212559409,6796.84
Brunei-Darussalam,75.09,24.22,0.59,0.00,0.03,0.07,437483,27442.95
Bulgaria,86.49,13.10,0.25,0.00,0.09,0.07,6948445,10058.27
Burkina-Faso,88.00,5.57,0.31,0.01,0.05,6.06,20903278,857.93
Burundi,79.58,4.48,0.07,0.02,0.12,15.73,11890781,238.99
Cambodia,59.08,40.42,0.25,0.00,0.10,0.16,16718971,1543.67
Cameroon,87.95,6.38,0.08,0.14,0.28,5.16,26545864,1537.13
Canada,48.65,50.98,0.24,0.00,0.02,0.10,37742157,43596.43
Central-African-Republic,89.50,4.75,0.08,0.11,0.05,5.51,4829764,492.80
Chad,89.76,7.70,0.07,0.08,0.04,2.34,16425859,659.27
Chile,85.38,14.27,0.31,0.00,0.01,0.03,19116209,13231.70
China,80.50,18.54,0.00,0.00,0.04,0.92,1439323774,10228.92
Colombia,88.79,10.56,0.53,0.00,0.06,0.06,50882884,5334.56
Congo,88.83,8.31,0.14,0.65,0.20,1.87,5518092,1846.13
Costa-Rica,80.86,18.86,0.17,0.00,0.04,0.07,5094114,12140.85
Croatia,88.14,11.52,0.22,0.00,0.09,0.03,4105268,13934.24
Cuba,88.56,11.25,0.05,0.00,0.06,0.09,11326616,9477.85
Cyprus,77.40,22.37,0.15,0.00,0.04,0.04,1207361,20385.49
Czech-Republic,78.82,20.79,0.18,0.00,0.10,0.11,10708982,22909.68
Côte-d'Ivoire,81.64,15.03,0.07,0.03,0.08,3.15,26378275,2325.72
Democratic-Republic-of-the-Congo,76.59,7.42,0.35,0.11,0.17,15.36,89561404,543.95
Denmark,44.80,55.02,0.14,0.00,0.03,0.01,5792203,61476.59
Djibouti,89.92,9.82,0.08,0.00,0.03,0.14,988002,3425.48
Dominican-Republic,74.92,24.81,0.18,0.00,0.06,0.03,10847904,7268.20
Ecuador,87.31,11.97,0.51,0.00,0.11,0.11,1764306,56003.90
Egypt,88.16,11.59,0.08,0.00,0.10,0.07,102334403,3569.21
El-Salvador,89.47,10.21,0.19,0.00,0.05,0.09,6486201,3798.64
Equatorial-Guinea,86.70,12.50,0.48,0.00,0.09,0.23,1402985,7143.24
Eritrea,91.00,5.62,0.04,0.00,0.08,3.27,3546427,582.28
Estonia,67.86,31.40,0.63,0.00,0.05,0.07,1326539,23105.45
Ethiopia,88.26,5.17,0.19,0.00,0.10,6.28,114963583,936.34
Fiji,92.72,7.14,0.05,0.00,0.04,0.05,896444,5057.63
Finland,71.64,28.01,0.18,0.01,0.08,0.06,5540718,48657.02
France,70.63,29.02,0.15,0.00,0.07,0.12,65273512,40296.86
Gabon,90.89,7.76,0.17,0.00,0.29,0.88,2225728,6881.72
Gambia,82.10,16.58,0.20,0.00,0.31,0.80,2416664,773.00
Georgia,77.79,20.98,0.95,0.00,0.18,0.10,3989175,3972.37
Germany,69.08,30.28,0.47,0.00,0.07,0.11,83783945,45908.72
Ghana,84.67,12.82,0.08,0.02,0.46,1.96,31072945,2205.53
Greece,84.59,13.25,1.09,0.00,0.21,0.86,10423056,18117.07
Greenland,56.34,43.47,0.13,0.00,0.01,0.05,56772,52530.25
Guatemala,87.47,12.31,0.15,0.00,0.02,0.04,17915567,4331.69
Guinea,75.92,6.20,0.90,0.06,0.08,16.82,13132792,1194.04
Guinea-Bissau,92.13,4.20,0.08,0.03,0.09,3.48,1967998,727.52
Guyana,84.91,14.44,0.50,0.00,0.03,0.13,786559,6955.94
Haiti,90.12,9.72,0.03,0.00,0.05,0.09,11402533,1272.37
Honduras,84.26,15.28,0.33,0.00,0.05,0.08,9904608,2389.01
Hungary,79.70,19.31,0.81,0.00,0.12,0.06,966035,161286.53
Iceland,52.55,47.30,0.11,0.00,0.01,0.02,34125,636427.13
India,95.24,3.22,0.15,1.09,0.04,0.26,1380004385,1927.71
Indonesia,92.16,7.60,0.07,0.00,0.03,0.14,273523621,3869.59
Iran,89.89,9.83,0.10,0.00,0.04,0.14,83992953,2422.48
Iraq,81.93,17.92,0.09,0.00,0.02,0.04,40222503,4145.86
Ireland,58.07,41.65,0.11,0.00,0.03,0.13,4937796,86250.82
Israel,77.12,22.72,0.09,0.00,0.02,0.04,8655541,47033.54
Italy,74.51,25.14,0.25,0.00,0.06,0.03,60461828,31238.05
Jamaica,77.54,22.20,0.12,0.01,0.05,0.07,2961161,4664.53
Japan,36.29,63.54,0.02,0.00,0.00,0.15,126476458,39989.73
Jordan,84.80,15.08,0.07,0.00,0.03,0.03,1020314,42827.66
Kazakhstan,79.03,20.65,0.12,0.00,0.04,0.15,18776707,9111.42
Kenya,88.32,4.56,0.24,0.00,0.24,6.65,537713,187858.07
Kuwait,63.36,36.41,0.19,0.00,0.01,0.03,4270563,24811.77
Kyrgyzstan,88.24,11.62,0.03,0.00,0.02,0.07,6524191,1185.74
Lao-People's-Democratic-Republic,77.30,21.82,0.11,0.00,0.68,0.09,7275556,2629.71
Latvia,74.52,25.14,0.22,0.00,0.06,0.07,1886202,17870.47
Lebanon,80.68,19.17,0.10,0.00,0.02,0.03,6825442,4649.55
Lesotho,94.67,3.17,0.05,0.00,0.22,1.89,2142252,875.35
Liberia,88.00,6.53,0.04,0.30,0.08,5.05,5057677,632.94
Libya,90.28,9.35,0.07,0.00,0.02,0.28,6871287,3699.29
Lithuania,76.42,23.18,0.16,0.00,0.13,0.11,2722291,20771.83
Luxembourg,57.39,41.93,0.54,0.00,0.02,0.12,625976,117182.02
North-Macedonia,84.54,15.19,0.16,0.00,0.07,0.04,208338,58864.49
Madagascar,79.49,8.17,0.29,0.30,0.54,11.21,27691019,471.49
Malawi,88.97,5.87,0.05,0.02,0.41,4.69,19129955,636.82
Malaysia,78.48,20.51,0.96,0.00,0.00,0.06,32365998,10412.35
Mali,88.70,8.34,0.38,0.07,0.15,2.34,20250834,862.45
Mauritania,89.51,10.07,0.07,0.00,0.04,0.31,464966,17019.91
Mexico,84.31,15.38,0.14,0.00,0.07,0.10,128932753,8329.27
Republic-of-Moldova,84.59,14.88,0.28,0.00,0.15,0.10,4033963,2953.81
Mongolia,72.96,26.73,0.24,0.00,0.02,0.04,3278292,4060.95
Montenegro,85.31,14.48,0.12,0.00,0.05,0.04,628062,7594.57
Morocco,81.44,18.11,0.23,0.00,0.11,0.11,36910558,3108.19
Mozambique,88.02,7.40,0.08,0.00,0.22,4.27,31255435,448.54
Myanmar,89.28,10.56,0.08,0.00,0.00,0.09,54409794,1467.60
Cyprus,77.40,22.37,0.15,0.00,0.04,0.04,1207361,20385.49
Namibia,88.01,11.31,0.14,0.00,0.09,0.44,2540916,4179.28
Nepal,92.59,7.21,0.05,0.00,0.03,0.12,29136808,1155.14
Netherlands,60.64,38.89,0.12,0.00,0.04,0.32,17134873,53333.65
New-Caledonia,71.94,27.44,0.15,0.00,0.42,0.05,285491,33059.28
New-Zealand,58.23,41.42,0.21,0.00,0.06,0.08,4822233,43693.63
Nicaragua,90.46,9.11,0.16,0.00,0.10,0.18,6624554,1905.26
Niger,92.64,4.46,0.04,0.01,0.07,2.78,24206636,567.67
Nigeria,85.18,7.25,0.03,0.04,0.10,7.41,206139587,2097.09
Norway,44.27,55.52,0.17,0.00,0.02,0.02,5421242,66810.95
Oman,85.34,14.38,0.24,0.00,0.02,0.02,5106622,14485.39
Pakistan,94.63,4.53,0.04,0.08,0.08,0.65,220892331,1188.86
Panama,83.95,15.75,0.21,0.01,0.01,0.06,4314768,12509.84
Papua-New-Guinea,94.54,4.64,0.03,0.20,0.14,0.45,8947027,2757.22
Paraguay,94.16,5.66,0.09,0.00,0.02,0.06,713253,50010.73
Peru,90.90,8.31,0.64,0.00,0.08,0.07,32971846,6126.87
Philippines,83.92,15.76,0.21,0.00,0.03,0.08,109581085,3298.83
Poland,94.10,5.28,0.11,0.00,0.32,0.19,37846605,15764.28
Portugal,76.94,22.81,0.13,0.00,0.07,0.05,10196707,22413.04
Puerto-Rico,59.79,39.96,0.20,0.00,0.01,0.03,286084,360517.54
Qatar,79.02,20.80,0.07,0.00,0.00,0.10,288106,501243.86
Romania,81.33,18.16,0.34,0.00,0.06,0.10,19237682,12928.56
Russian-Federation,75.00,24.53,0.13,0.00,0.23,0.12,14593446,101655.07
Rwanda,83.92,8.86,0.16,0.41,0.08,6.57,12952209,797.86
South-Sudan,73.10,26.25,0.21,0.15,0.06,0.23,11193729,1071.83
Saudi-Arabia,61.49,38.39,0.08,0.00,0.00,0.04,34813867,20110.32
Senegal,86.66,12.82,0.10,0.00,0.20,0.23,1674393,14718.31
Serbia,89.35,10.21,0.10,0.00,0.23,0.12,873737,61042.41
Sierra-Leone,80.93,6.16,0.04,0.00,0.20,12.67,7976985,509.38
Slovakia,79.51,19.64,0.69,0.00,0.07,0.08,5459643,19263.63
Slovenia,82.47,17.22,0.19,0.00,0.08,0.04,2078932,25777.47
Solomon-Islands,91.67,7.68,0.02,0.00,0.09,0.54,686878,2250.60
Somalia,93.27,6.05,0.12,0.00,0.07,0.49,15893219,438.26
South-Africa,84.30,15.07,0.06,0.02,0.05,0.50,5930869,56558.68
Republic-of-Korea,75.90,23.98,0.09,0.00,0.01,0.02,51269183,31946.98
Spain,79.66,20.06,0.23,0.00,0.01,0.04,46754783,27408.63
Sri-Lanka,89.43,9.98,0.06,0.00,0.20,0.34,2141325,37676.06
Sudan,92.00,5.80,0.04,0.02,0.07,2.08,43849269,486.42
Suriname,83.09,16.63,0.13,0.00,0.09,0.05,586634,4916.61
Sweden,49.45,50.32,0.18,0.00,0.02,0.02,1009927,535900.18
Switzerland,49.23,50.38,0.31,0.00,0.04,0.05,8654618,86918.69
Syrian-Arab-Republic,96.01,3.54,0.06,0.00,0.05,0.34,17500657,1301.54
Tajikistan,89.56,9.41,0.09,0.00,0.08,0.87,9537642,859.14
United-Republic-of-Tanzania,86.02,8.00,0.04,0.38,0.17,5.39,59734213,1044.79
Thailand,73.84,25.96,0.11,0.00,0.07,0.03,69799978,7186.87
Timor-Leste,94.97,4.90,0.03,0.00,0.00,0.10,1318442,1442.73
Togo,89.53,6.73,0.06,0.00,0.51,3.17,8278737,914.95
Trinidad-and-Tobago,81.11,18.40,0.35,0.00,0.04,0.10,1399491,15425.64
Tunisia,93.05,6.45,0.13,0.00,0.14,0.24,11818618,3521.59
Turkey,84.13,15.49,0.24,0.00,0.03,0.11,84339067,8536.43
Turkmenistan,93.37,6.39,0.10,0.00,0.07,0.07,6031187,7499.59
Uganda,79.36,6.68,0.05,0.42,0.30,13.20,45741,822027.68
Ukraine,80.69,18.84,0.15,0.00,0.15,0.16,43733759,3555.58
United-Arab-Emirates,73.11,26.65,0.13,0.00,0.01,0.10,98904,3628455.52
United-Kingdom,50.10,49.65,0.12,0.00,0.08,0.05,67886004,40653.51
United-States-of-America,40.30,59.51,0.11,0.00,0.02,0.06,331002647,63301.70
Uruguay,85.30,14.51,0.05,0.00,0.11,0.04,3473727,15438.41
Uzbekistan,90.53,8.77,0.09,0.00,0.06,0.54,33469199,1790.60
Vanuatu,85.30,13.70,0.02,0.00,0.01,0.97,30715,28700.89
Venezuela,90.12,8.65,0.17,0.00,0.30,0.76,28435943,16963.01
Viet-Nam,62.69,36.24,0.29,0.00,0.59,0.19,97338583,2785.72
Yemen,96.21,2.76,0.04,0.00,0.03,0.96,29825968,724.41
Zambia,88.29,6.38,0.08,0.10,0.53,4.63,18383956,985.13
Zimbabwe,84.96,10.78,0.08,0.00,0.54,3.64,14862927,1214.51
