"Date","Android","iOS","Nokia Unknown","SymbianOS","Samsung","Series 40","Unknown","Windows","Linux","Other"
2020-01,92.56,6.9,0.17,0.14,0.04,0.1,0.04,0.03,0.02,0.01
2020-02,91.84,7.75,0.12,0.07,0.02,0.07,0.03,0.06,0.01,0.02
2020-03,91.16,8.67,0.02,0.01,0.03,0.01,0.01,0.06,0,0.02
2020-04,89.37,10.29,0.09,0.02,0.04,0.05,0.04,0.06,0.01,0.03
2020-05,90.56,8.98,0.11,0.09,0.06,0.1,0.07,0.01,0.01,0.02
2020-06,91.24,8.42,0.08,0.05,0.06,0.04,0.06,0.03,0.01,0.01
2020-07,89.89,9.76,0.1,0.07,0.06,0.03,0.06,0.01,0.02,0.01
2020-08,89.88,9.69,0.09,0.12,0.08,0.06,0.05,0.01,0.02,0.01
2020-09,89.1,10.57,0.1,0.05,0.08,0.05,0.02,0,0.02,0.01
2020-10,90.19,9.41,0.11,0.09,0.07,0.06,0.04,0.01,0.02,0.02
2020-11,90.33,9.27,0.07,0.04,0.16,0.07,0.03,0.01,0.02,0.01
2020-12,91.62,7.76,0.1,0.11,0.25,0.07,0.05,0.01,0.02,0.02
