"Date","Android","iOS","Windows","Samsung","Unknown","Series 40","Nokia Unknown","LG","BlackBerry OS","Other"
2020-01,96.72,2.83,0.18,0.07,0.08,0.04,0.02,0.02,0.01,0.02
2020-02,96.16,3.42,0.21,0.06,0.07,0.02,0.01,0.01,0.01,0.02
2020-03,95.82,3.9,0.2,0.02,0.04,0,0,0,0.01,0.01
2020-04,95.56,4.07,0.15,0.04,0.12,0.01,0.01,0.01,0.01,0.01
2020-05,95.49,4.19,0.07,0.06,0.1,0.02,0.01,0.02,0.01,0.03
2020-06,95.64,4.04,0.07,0.09,0.09,0.02,0.02,0.01,0.01,0.02
2020-07,95.21,4.46,0.06,0.1,0.08,0.02,0.02,0.02,0.01,0.02
2020-08,95.84,3.86,0.06,0.11,0.05,0.02,0.02,0.02,0.01,0.02
2020-09,96.01,3.65,0.06,0.13,0.04,0.04,0.02,0.02,0.01,0.02
2020-10,95.49,4.18,0.07,0.11,0.03,0.04,0.02,0.02,0.01,0.03
2020-11,95.62,4.05,0.08,0.11,0.04,0.02,0.03,0.02,0.01,0.02
2020-12,96.09,3.62,0.05,0.11,0.05,0.01,0.01,0.02,0.01,0.02
