"Date","Android","iOS","Unknown","Samsung","Windows","Series 40","Linux","Nokia Unknown","BlackBerry OS","Playstation","SymbianOS","Tizen","LG","Other"
2020-01,87.08,10.5,1.22,0.18,0.22,0.19,0.13,0.23,0.04,0.11,0.04,0.04,0,0.01
2020-02,86.39,11.98,0.82,0.13,0.23,0.09,0.11,0.11,0.03,0.05,0.05,0.01,0.01,0.01
2020-03,86.4,12.92,0.11,0.09,0.26,0.02,0.04,0.02,0.06,0.07,0.01,0.01,0,0
2020-04,83.44,14.35,1.1,0.14,0.2,0.08,0.09,0.08,0.34,0.11,0.05,0.01,0.01,0.01
2020-05,81.91,15.93,1.13,0.13,0.11,0.08,0.18,0.08,0.24,0.11,0.08,0.01,0,0.01
2020-06,83.41,15.05,0.68,0.19,0.1,0.13,0.2,0.08,0.06,0.08,0.01,0.01,0.01,0
2020-07,83.13,15.23,0.82,0.22,0.11,0.1,0.13,0.08,0.07,0.05,0.02,0.01,0.02,0.01
2020-08,82.95,14.71,1.25,0.3,0.13,0.15,0.16,0.14,0.05,0.07,0.03,0.01,0.03,0.01
2020-09,82.4,14.69,1.66,0.18,0.19,0.21,0.2,0.15,0.07,0.15,0.02,0.02,0.04,0.02
2020-10,82.54,15.15,1.32,0.23,0.1,0.19,0.12,0.18,0.04,0.09,0.01,0.01,0.01,0.02
2020-11,83.83,13.69,1.41,0.23,0.17,0.24,0.1,0.18,0.03,0.07,0.02,0.01,0,0.02
2020-12,84.32,12.91,1.63,0.19,0.23,0.18,0.15,0.2,0.06,0.08,0,0.01,0.01,0.01
