"Date","Android","iOS","BlackBerry OS","Samsung","Windows","Other"
2020-01,66.36,32.11,1.49,0.02,0.02,0
2020-02,67.77,29.39,2.8,0.02,0.01,0.01
2020-03,67.18,31.02,1.71,0.08,0.01,0
2020-04,73.27,25.62,0.84,0.19,0.05,0.02
2020-05,74.42,24.39,0.77,0.4,0.01,0
2020-06,79.15,19.72,0.98,0.14,0.01,0.01
2020-07,80.34,18.83,0.69,0.07,0.02,0.05
2020-08,77.79,21.4,0.4,0.38,0.01,0.03
2020-09,76.64,22.29,1.01,0.06,0,0
2020-10,74.67,23.82,1.32,0.18,0.02,0
2020-11,74.61,23.57,1.66,0.14,0.01,0
2020-12,67.79,31.27,0.88,0.06,0.01,0
