"Date","Android","iOS","Samsung","Windows","BlackBerry OS","Unknown","Playstation","Other"
2020-01,75.93,23.11,0.19,0.74,0.01,0,0.01,0.02
2020-02,77.24,22.17,0.21,0.35,0,0,0,0.02
2020-03,77.07,22.49,0.22,0.2,0.01,0,0.01,0.01
2020-04,77.56,21.92,0.33,0.11,0.05,0.02,0.01,0
2020-05,80.01,19.14,0.25,0.13,0.18,0.11,0.01,0.16
2020-06,81.32,17.56,0.62,0.03,0.39,0,0.07,0
2020-07,80.51,19.14,0.06,0.03,0.25,0,0,0.01
2020-08,79.48,19.98,0.09,0.06,0.38,0,0,0
2020-09,79.72,19.85,0.29,0.09,0.04,0,0,0.01
2020-10,77.26,22.58,0.15,0,0,0,0.01,0
2020-11,74.82,24.79,0.16,0.18,0.05,0,0,0.01
2020-12,75.08,24.3,0.43,0.1,0.08,0,0,0.02
