"Date","Android","iOS","Windows","Samsung","Unknown","Series 40","Other"
2020-01,93.05,6.19,0.6,0.08,0.01,0.04,0.03
2020-02,92.6,6.62,0.53,0.11,0.04,0.02,0.09
2020-03,92.4,7.07,0.38,0.1,0.02,0,0.03
2020-04,91.63,7.89,0.31,0.12,0.01,0.01,0.02
2020-05,91.58,8.14,0.11,0.12,0.02,0.01,0.03
2020-06,92.31,7.44,0.09,0.11,0.02,0.01,0.02
2020-07,91.68,8.06,0.09,0.11,0.02,0.01,0.02
2020-08,91.66,8.11,0.08,0.09,0.02,0.02,0.02
2020-09,91.28,8.48,0.08,0.09,0.02,0.02,0.02
2020-10,90.9,8.87,0.07,0.1,0.02,0.02,0.02
2020-11,91.79,7.95,0.08,0.12,0.02,0.02,0.03
2020-12,91.93,7.81,0.07,0.12,0.02,0.02,0.02
