"Date","Android","iOS","Windows","Samsung","Unknown","Nokia Unknown","BlackBerry OS","SymbianOS","Series 40","Linux","Other"
2020-01,76.47,22.5,0.24,0.14,0.18,0.09,0.12,0.14,0.04,0.06,0.04
2020-02,75.93,23.14,0.38,0.1,0.14,0.07,0.1,0.09,0.02,0.02,0.03
2020-03,74.57,25.1,0.12,0.09,0.04,0,0.03,0.02,0,0.01,0
2020-04,75.15,24.16,0.15,0.06,0.17,0.02,0.11,0.09,0.02,0.04,0.02
2020-05,72.03,27.69,0.09,0.08,0.02,0.03,0.02,0.02,0.02,0,0
2020-06,72.12,27.56,0.14,0.06,0.02,0.04,0.01,0.01,0.02,0,0
2020-07,72.1,27.64,0.1,0.06,0,0.06,0,0,0.02,0,0
2020-08,72.07,27.57,0.11,0.1,0.01,0.1,0,0,0.03,0,0
2020-09,72.29,27.41,0.14,0.06,0.01,0.06,0,0,0.02,0,0
2020-10,73.59,26.22,0.06,0.07,0,0.04,0,0,0.02,0,0.01
2020-11,73.33,26.45,0.08,0.06,0,0.06,0,0,0.01,0,0
2020-12,72.48,27.31,0.07,0.07,0,0.04,0,0,0.01,0,0.01
