"Date","Android","iOS","KaiOS","Samsung","Unknown","Windows","Nokia Unknown","Tizen","Series 40","Linux","Other"
2020-01,85.46,13.42,0.43,0.24,0.12,0.08,0.09,0.05,0.06,0.01,0.03
2020-02,83.94,15.03,0.47,0.19,0.12,0.08,0.05,0.04,0.04,0.01,0.02
2020-03,83.66,15.27,0.69,0.15,0.08,0.07,0.01,0.04,0.01,0.01,0.01
2020-04,82.55,16.71,0.26,0.2,0.11,0.04,0.03,0.03,0.03,0.01,0.02
2020-05,82.38,16.67,0.42,0.25,0.12,0.02,0.04,0.03,0.03,0.01,0.02
2020-06,82.74,16.52,0.25,0.23,0.11,0.02,0.03,0.03,0.03,0.01,0.02
2020-07,83.08,16.26,0.19,0.24,0.09,0.02,0.03,0.03,0.02,0.01,0.01
2020-08,82.8,16.56,0.15,0.28,0.09,0.02,0.04,0.03,0.03,0.01,0.02
2020-09,83.53,15.85,0.15,0.26,0.09,0.02,0.03,0.02,0.02,0.01,0.02
2020-10,83.24,16.17,0.13,0.26,0.08,0.01,0.03,0.02,0.02,0.01,0.02
2020-11,82.06,17.15,0.27,0.29,0.09,0.03,0.03,0.02,0.02,0.01,0.02
2020-12,83.7,15.58,0.24,0.27,0.09,0.02,0.03,0.02,0.02,0.02,0.01
