"Date","iOS","Android","Samsung","Windows","Unknown","Other"
2020-01,53.95,45.72,0.2,0.06,0.05,0.02
2020-02,54.05,45.63,0.21,0.05,0.04,0.02
2020-03,53.98,45.74,0.19,0.05,0.02,0.01
2020-04,53.93,45.79,0.2,0.04,0.03,0.01
2020-05,52.47,47.22,0.23,0.03,0.03,0.02
2020-06,51.52,48.14,0.26,0.03,0.04,0.02
2020-07,52.4,47.21,0.31,0.03,0.03,0.02
2020-08,52.84,46.74,0.35,0.04,0.03,0.02
2020-09,52.79,46.78,0.35,0.03,0.03,0.02
2020-10,54.06,45.54,0.32,0.03,0.02,0.01
2020-11,54.32,45.29,0.32,0.03,0.02,0.01
2020-12,54.08,45.56,0.29,0.03,0.02,0.01
