"Date","Android","iOS","Samsung","Windows","Series 40","Nokia Unknown","SymbianOS","Unknown","BlackBerry OS","Linux","Other"
2020-01,86.32,11.95,0.59,0.44,0.33,0.12,0.1,0.04,0.04,0.04,0.02
2020-02,86.78,12,0.47,0.41,0.13,0.04,0.06,0.06,0.02,0.02,0.02
2020-03,84.62,14.12,0.77,0.4,0.01,0.01,0.01,0.02,0.02,0.01,0.02
2020-04,87.05,12.27,0.38,0.12,0.08,0.04,0.02,0.01,0.01,0.01,0.01
2020-05,88.19,11.26,0.28,0.04,0.1,0.04,0.03,0.03,0.01,0.03,0.01
2020-06,87.13,12.29,0.35,0.03,0.07,0.04,0.01,0.04,0.01,0.01,0.01
2020-07,85.76,13.74,0.3,0.03,0.06,0.03,0.01,0.03,0.01,0.01,0.01
2020-08,86.15,13.32,0.38,0.03,0.05,0.02,0.01,0.01,0.01,0.01,0.01
2020-09,85.3,14.39,0.2,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0
2020-10,78.44,20.82,0.57,0.03,0.04,0.03,0.02,0,0.01,0.01,0.02
2020-11,84.2,14.72,0.96,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01
2020-12,85.72,14.01,0.2,0.02,0.02,0.01,0.01,0,0.01,0,0
