"Date","Android","iOS","Unknown","Windows","Series 40","Nokia Unknown","Samsung","SymbianOS","Linux","Tizen","BlackBerry OS","Other"
2020-01,94.78,2.11,1.88,0.26,0.32,0.25,0.19,0.1,0.06,0.04,0.02,0
2020-02,95.71,2.31,1.16,0.26,0.17,0.15,0.11,0.05,0.04,0.02,0.01,0
2020-03,96.95,2.41,0.24,0.27,0.03,0.02,0.04,0.01,0.01,0.02,0.01,0
2020-04,94.71,2.87,1.6,0.24,0.16,0.16,0.11,0.05,0.04,0.03,0.02,0.01
2020-05,94.8,2.9,1.58,0.11,0.16,0.17,0.13,0.05,0.05,0.02,0.02,0.01
2020-06,96.03,2.65,0.83,0.08,0.11,0.09,0.08,0.04,0.03,0.02,0.01,0.01
2020-07,95.78,2.75,0.98,0.08,0.11,0.11,0.08,0.05,0.03,0.02,0.01,0.01
2020-08,95.37,3.04,1.08,0.07,0.12,0.13,0.07,0.07,0.03,0.02,0.01,0
2020-09,96,3.06,0.59,0.05,0.08,0.06,0.08,0.04,0.02,0.02,0.01,0
2020-10,96.28,3.26,0.25,0.04,0.04,0.02,0.07,0.01,0.01,0.01,0.01,0
2020-11,96.24,3.11,0.38,0.05,0.04,0.04,0.1,0.02,0.01,0.01,0.01,0
2020-12,96.38,2.68,0.63,0.04,0.05,0.06,0.11,0.02,0.01,0.01,0,0
