"Date","Android","iOS","Samsung","Windows","BlackBerry OS","Other"
2020-01,75.16,24.08,0.42,0.31,0.02,0.01
2020-02,74.76,24.42,0.4,0.39,0.01,0.01
2020-03,76.23,23.39,0.14,0.22,0.01,0.01
2020-04,76.28,23.42,0.11,0.16,0.01,0.01
2020-05,78.17,21.5,0.08,0.23,0.01,0.01
2020-06,78.02,21.6,0.3,0.05,0.02,0.01
2020-07,79.11,20.27,0.57,0.04,0.01,0.01
2020-08,78.38,21.11,0.44,0.04,0.01,0.01
2020-09,79.5,20.01,0.45,0.01,0.02,0.01
2020-10,76.27,23.14,0.49,0.04,0.06,0.01
2020-11,74.19,25.11,0.57,0.07,0.04,0.03
2020-12,72.16,27.35,0.43,0.02,0.01,0.03
