"Date","Android","iOS","Windows","Samsung","Unknown","BlackBerry OS","Series 40","SymbianOS","Linux","Nokia Unknown","Other"
2020-01,85.82,13.5,0.26,0.16,0.08,0.04,0.03,0.04,0.01,0.01,0.03
2020-02,86.14,12.61,0.56,0.12,0.17,0.13,0.03,0.1,0.06,0.01,0.07
2020-03,86.1,13.34,0.39,0.12,0.01,0.02,0,0,0,0,0.02
2020-04,86.05,13.5,0.22,0.13,0.02,0.04,0.01,0.01,0.01,0.02,0.01
2020-05,84.61,14.98,0.16,0.17,0.01,0.03,0.01,0.01,0,0.01,0.01
2020-06,84.92,14.63,0.19,0.15,0.01,0.03,0.02,0.01,0,0.03,0.01
2020-07,84.29,15.32,0.1,0.21,0.01,0.02,0.03,0,0.01,0.01,0
2020-08,85.56,14.05,0.08,0.23,0.02,0.02,0.02,0,0,0.01,0.01
2020-09,84.77,14.95,0.06,0.13,0.02,0.02,0.02,0,0,0.02,0
2020-10,82.62,16.84,0.19,0.19,0.02,0.02,0.02,0,0.04,0.01,0.04
2020-11,83.74,15.93,0.09,0.18,0.02,0,0.02,0,0,0.01,0.01
2020-12,85,14.65,0.07,0.23,0.01,0,0.02,0,0,0.01,0
