"Date","Android","iOS","Samsung","Windows","Nokia Unknown","Other"
2020-01,65.36,34.24,0.21,0.12,0.04,0.03
2020-02,65.39,34.23,0.25,0.1,0.01,0.03
2020-03,64.18,35.4,0.33,0.07,0,0.02
2020-04,63.15,36.5,0.21,0.06,0.05,0.03
2020-05,63.92,35.79,0.19,0.02,0.03,0.04
2020-06,65.42,34.29,0.22,0.02,0.02,0.03
2020-07,65.51,34.16,0.23,0.02,0.03,0.05
2020-08,64.53,35.09,0.27,0.02,0.03,0.05
2020-09,65.63,33.97,0.26,0.02,0.05,0.05
2020-10,62.28,37.39,0.24,0.02,0.02,0.04
2020-11,60.96,38.69,0.31,0.02,0.01,0.02
2020-12,61.22,38.45,0.29,0.02,0.01,0.02
