"Date","Android","iOS","Samsung","Windows","Playstation","Other"
2020-01,77.19,22.28,0.26,0.23,0.01,0.02
2020-02,75.53,23.72,0.17,0.54,0.01,0.02
2020-03,76.84,22.56,0.14,0.37,0.06,0.02
2020-04,77.44,22.15,0.28,0.09,0.02,0.03
2020-05,79.18,20.41,0.22,0.06,0.11,0.01
2020-06,79.64,20.1,0.22,0.02,0.01,0.01
2020-07,79.57,20.11,0.18,0.12,0.01,0.01
2020-08,80.67,19.06,0.17,0.08,0.01,0.01
2020-09,80.56,19.15,0.19,0.08,0.01,0.01
2020-10,80.17,19.54,0.26,0.02,0.01,0.01
2020-11,77.98,21.76,0.21,0.03,0.02,0.01
2020-12,77.43,21.55,0.32,0.59,0,0.1
