"Date","Android","iOS","Unknown","Linux","Series 40","Windows","Samsung","Nokia Unknown","KaiOS","BlackBerry OS","SymbianOS","Playstation","Other"
2020-01,80.22,4.85,13.36,0.46,0.41,0.36,0.02,0.11,0.01,0.06,0.05,0.01,0.07
2020-02,84.81,6.39,7.79,0.31,0.16,0.34,0.01,0.08,0.02,0.07,0.01,0.01,0.01
2020-03,90.7,7.92,0.86,0.06,0.02,0.33,0.01,0,0.04,0.04,0,0.01,0
2020-04,87.63,8.62,2.76,0.14,0.33,0.26,0.01,0.06,0.03,0.05,0.09,0.01,0.01
2020-05,88.33,7.71,3.18,0.2,0.22,0.14,0.01,0.06,0.04,0.03,0.03,0.03,0.02
2020-06,89.11,7.06,2.9,0.23,0.14,0.07,0.28,0.04,0.05,0.05,0.01,0.04,0.01
2020-07,88.56,6.57,3.84,0.15,0.13,0.05,0.52,0.08,0.05,0.03,0.01,0.01,0.01
2020-08,88.32,6.62,4.29,0.24,0.15,0.03,0.15,0.1,0.05,0.01,0.01,0.01,0.01
2020-09,86.85,7.34,4.93,0.32,0.1,0.05,0.16,0.1,0.09,0.04,0.01,0.01,0.01
2020-10,87.03,6.92,5.3,0.31,0.05,0.09,0.06,0.08,0.08,0.03,0.02,0,0.01
2020-11,84.92,7.37,6.81,0.31,0.14,0.04,0.04,0.23,0.12,0.02,0,0,0.01
2020-12,85.19,6.25,7.75,0.24,0.16,0.05,0.08,0.09,0.14,0.02,0.01,0,0.01
