"Date","Android","iOS","Samsung","Nokia Unknown","Series 40","Windows","Other"
2020-01,87.91,11.58,0.12,0.19,0.06,0.12,0.02
2020-02,85.86,13.95,0.03,0.11,0.03,0.01,0.02
2020-03,88.17,11.75,0.03,0.01,0,0.02,0.02
2020-04,88.4,11.53,0.02,0.01,0.01,0.01,0.02
2020-05,87.9,12.03,0.03,0.02,0,0,0.03
2020-06,87.22,12.71,0.03,0.01,0.01,0.01,0.01
2020-07,87,12.88,0.09,0.01,0,0,0.01
2020-08,87.94,12,0.02,0.01,0.02,0.01,0.01
2020-09,87.92,11.85,0.16,0.02,0.02,0,0.02
2020-10,87.73,12.19,0.06,0.01,0.01,0,0
2020-11,85.09,14.66,0.14,0.01,0.01,0,0.09
2020-12,90.22,9.67,0.09,0.01,0,0,0
