"Date","Android","iOS","Samsung","Tizen","Windows","Unknown","Other"
2020-01,94.59,4.88,0.22,0.09,0.13,0.02,0.07
2020-02,94.56,4.87,0.25,0.08,0.19,0.02,0.04
2020-03,94.77,4.76,0.24,0.06,0.14,0.01,0.01
2020-04,93.9,5.56,0.28,0.07,0.13,0.03,0.03
2020-05,93.66,5.83,0.3,0.1,0.05,0.03,0.04
2020-06,94.26,5.28,0.31,0.07,0.02,0.04,0.03
2020-07,94.5,5.09,0.27,0.08,0.02,0.03,0.03
2020-08,94.03,5.58,0.23,0.08,0.01,0.03,0.03
2020-09,94.56,5.11,0.19,0.06,0.01,0.03,0.04
2020-10,94.64,5.01,0.21,0.06,0.01,0.05,0.02
2020-11,95.18,4.47,0.24,0.04,0.02,0.02,0.02
2020-12,95.26,4.35,0.29,0.04,0.01,0.02,0.03
