"Date","Android","iOS","Samsung","BlackBerry OS","Windows","Tizen","Firefox OS","Unknown","Series 40","Linux","SymbianOS","Nokia Unknown","KaiOS","Other"
2020-01,87.43,11.27,0.13,0.18,0.33,0.12,0.05,0.1,0.11,0.07,0.12,0.05,0.01,0.03
2020-02,87.9,11,0.17,0.09,0.38,0.06,0.19,0.05,0.06,0.04,0.03,0.03,0,0.01
2020-03,86.49,12.34,0.18,0.37,0.39,0.08,0.04,0.05,0,0.02,0.01,0,0.02,0.01
2020-04,87.37,11.42,0.06,0.69,0.19,0.05,0.05,0.03,0.05,0.02,0.01,0.01,0.03,0.01
2020-05,87.85,11.61,0.12,0.09,0.05,0.06,0.05,0.04,0.03,0.02,0.03,0.02,0.03,0
2020-06,88.86,10.57,0.18,0.08,0.03,0.06,0.05,0.05,0.02,0.04,0.01,0.03,0.01,0
2020-07,88.26,11.21,0.22,0.04,0.04,0.03,0.04,0.02,0.06,0.03,0.01,0.01,0.02,0.01
2020-08,89.41,9.94,0.2,0.12,0.04,0.09,0.03,0.05,0.05,0.02,0.03,0.02,0.02,0
2020-09,89.71,9.77,0.22,0.05,0.05,0.03,0.03,0.04,0.02,0.04,0.01,0.03,0.01,0
2020-10,89.03,10.46,0.19,0.08,0.03,0.02,0.02,0.04,0.03,0.03,0.02,0.04,0.01,0
2020-11,89.07,10.48,0.13,0.07,0.05,0.02,0.04,0.04,0.03,0.02,0.01,0.03,0.03,0
2020-12,91.04,8.48,0.21,0.02,0.02,0.01,0.05,0.04,0.02,0.03,0.03,0.03,0.02,0
