"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,87.26,12.38,0.09,0.17,0.02,0.08
2020-02,87.33,12.31,0.1,0.18,0.01,0.07
2020-03,86,13.68,0.12,0.16,0.01,0.03
2020-04,88.92,10.84,0.08,0.09,0.02,0.04
2020-05,85.17,14.61,0.1,0.05,0.02,0.05
2020-06,87.35,12.47,0.11,0.04,0.01,0.02
2020-07,85.95,13.83,0.16,0.03,0.01,0.02
2020-08,85.26,14.5,0.16,0.04,0.01,0.02
2020-09,85.4,14.38,0.14,0.04,0.01,0.02
2020-10,84.52,15.27,0.15,0.02,0.02,0.02
2020-11,85.6,14.13,0.19,0.04,0.02,0.02
2020-12,85.84,13.9,0.2,0.02,0.02,0.02
