"Date","Android","iOS","Samsung","Windows","Unknown","Linux","Playstation","Other"
2020-01,74.86,24.59,0.39,0.04,0.06,0.04,0.01,0.02
2020-02,76.45,22.88,0.43,0.12,0.02,0.03,0.07,0.01
2020-03,79.14,20.42,0.34,0.07,0.02,0,0,0
2020-04,74.96,24.46,0.47,0.05,0.03,0.02,0,0.01
2020-05,74.99,24.54,0.41,0.01,0.02,0.02,0.01,0.01
2020-06,74.52,24.83,0.56,0.02,0.04,0.02,0.01,0
2020-07,74.88,24.44,0.63,0.01,0.01,0.01,0.01,0
2020-08,73.73,25.31,0.9,0.01,0.02,0.02,0,0.01
2020-09,74.5,24.77,0.69,0,0.01,0.01,0,0.01
2020-10,73.3,25.88,0.78,0,0.01,0.02,0.01,0
2020-11,73.91,25.26,0.75,0.01,0.05,0.01,0.01,0.01
2020-12,75.85,23.28,0.76,0,0.01,0.01,0.06,0.01
