"Date","Android","iOS","Samsung","Windows","Unknown","Nokia Unknown","Other"
2020-01,87.18,12.32,0.24,0.16,0.03,0.01,0.05
2020-02,87.31,12.21,0.23,0.19,0.02,0.01,0.03
2020-03,86.84,12.59,0.33,0.17,0.03,0,0.04
2020-04,86.65,12.98,0.18,0.13,0.03,0.01,0.03
2020-05,86.95,12.71,0.22,0.06,0.03,0.01,0.03
2020-06,87.14,12.45,0.26,0.06,0.03,0.04,0.03
2020-07,86.57,12.99,0.29,0.06,0.02,0.05,0.02
2020-08,86.32,13.25,0.3,0.05,0.02,0.04,0.02
2020-09,86.25,13.37,0.23,0.06,0.02,0.05,0.02
2020-10,85.69,13.94,0.27,0.04,0.02,0.01,0.03
2020-11,85.41,14.28,0.22,0.04,0.02,0.01,0.02
2020-12,85.56,14.16,0.19,0.03,0.03,0.01,0.02
