"Date","Android","Unknown","iOS","LG","Samsung","Linux","Series 40","BlackBerry OS","Windows","KaiOS","Nokia Unknown","SymbianOS","Other"
2020-01,78.16,15.38,3.27,1.61,0.98,0.16,0.17,0.05,0.12,0.03,0.05,0.02,0
2020-02,85.87,8.42,4.18,0.66,0.44,0.11,0.09,0.05,0.07,0.02,0.02,0.05,0.01
2020-03,94.08,0.44,5.24,0.01,0.03,0.02,0.03,0.06,0.06,0.01,0.01,0.01,0
2020-04,92.48,1.82,5.19,0.12,0.09,0.09,0.04,0.07,0.09,0.01,0.01,0,0
2020-05,90.68,2.59,6.16,0.15,0.13,0.12,0.07,0.05,0.03,0.01,0,0,0
2020-06,90.43,2.59,6.32,0.24,0.23,0.09,0.03,0.04,0.02,0.01,0,0,0
2020-07,89.12,4.06,5.93,0.37,0.31,0.1,0.03,0.03,0.02,0.01,0,0.01,0
2020-08,88.2,4.38,6.4,0.49,0.25,0.09,0.04,0.12,0.02,0.01,0.01,0,0
2020-09,86.05,5.74,7.02,0.54,0.22,0.09,0.08,0.17,0.04,0.02,0.02,0.01,0.01
2020-10,87.28,5.4,6.3,0.5,0.25,0.09,0.06,0.06,0.02,0.02,0.01,0.01,0.01
2020-11,86.6,6.49,5.46,0.57,0.4,0.12,0.08,0.15,0.08,0.01,0.03,0,0.03
2020-12,87.03,6.42,5.32,0.53,0.39,0.06,0.13,0.03,0.07,0.01,0,0,0
