"Date","Android","Unknown","iOS","Linux","Windows","Series 40","Samsung","Tizen","Nokia Unknown","BlackBerry OS","SymbianOS","KaiOS","Other"
2020-01,66.39,30.07,2.66,0.16,0.21,0.24,0.07,0.03,0.04,0.02,0.07,0.01,0.03
2020-02,77.34,18.52,3.38,0.12,0.26,0.13,0.1,0.04,0.05,0.03,0.03,0,0.01
2020-03,88.75,5.55,5.13,0.11,0.35,0.01,0,0.04,0,0.05,0,0,0
2020-04,82.27,11.76,5.27,0.19,0.17,0.13,0.02,0.05,0.02,0.05,0.02,0,0.06
2020-05,80.77,13.29,5.17,0.17,0.05,0.11,0.25,0.05,0.06,0.04,0.03,0,0.01
2020-06,82.32,12.22,4.63,0.44,0.06,0.09,0.06,0.03,0.03,0.01,0.06,0.03,0.01
2020-07,80.92,13.25,4.67,0.66,0.11,0.12,0.12,0.05,0.05,0.03,0.01,0.01,0.01
2020-08,80.6,14.22,3.74,0.99,0.03,0.17,0.09,0.04,0.02,0.01,0.01,0.08,0
2020-09,81.64,13.17,4.69,0.08,0.07,0.1,0.05,0.05,0.02,0.07,0.03,0.03,0.01
2020-10,82.5,12.55,4.56,0.13,0.04,0.08,0.02,0.05,0.02,0.03,0.01,0.01,0
2020-11,77.27,16.34,5.94,0.11,0.03,0.07,0.04,0.02,0.05,0.01,0.04,0.01,0.09
2020-12,74.21,21.44,3.93,0.12,0.04,0.08,0.02,0.04,0.05,0.01,0,0.05,0.01
