"Date","Android","iOS","Samsung","Windows","Unknown","BlackBerry OS","Nokia Unknown","Linux","SymbianOS","Other"
2020-01,61.2,38.24,0.09,0.11,0.14,0.06,0.04,0.03,0.05,0.03
2020-02,60.89,38.44,0.17,0.26,0.06,0.04,0.03,0.02,0.04,0.05
2020-03,56.64,42.83,0.2,0.26,0.03,0.01,0.01,0.01,0,0.01
2020-04,58.91,40.56,0.15,0.2,0.1,0.04,0.01,0.01,0.01,0.02
2020-05,58.8,40.7,0.22,0.04,0.09,0.03,0.01,0.01,0.01,0.09
2020-06,60.2,39.45,0.18,0.07,0.05,0.01,0.02,0.01,0,0.01
2020-07,59.14,40.51,0.18,0.06,0.04,0.01,0.02,0.01,0.01,0.01
2020-08,57.46,42.05,0.34,0.04,0.06,0,0.02,0.01,0,0.01
2020-09,60.74,38.75,0.35,0.06,0.06,0,0.02,0,0,0.01
2020-10,59.13,40.4,0.33,0.01,0.06,0,0.02,0.03,0,0.01
2020-11,57.25,42.23,0.34,0.04,0.08,0,0.02,0.02,0,0.02
2020-12,58.6,40.85,0.4,0.02,0.08,0,0.01,0.02,0,0.02
