"Date","Android","iOS","Unknown","Windows","KaiOS","Linux","Samsung","BlackBerry OS","Series 40","Nokia Unknown","SymbianOS","Other"
2020-01,84.26,4.6,9.26,0.76,0.24,0.21,0.2,0.09,0.16,0.07,0.08,0.06
2020-02,88.9,5.07,4.7,0.55,0.32,0.1,0.1,0.08,0.06,0.04,0.06,0.02
2020-03,93.18,5.21,0.77,0.56,0.09,0.04,0.01,0.08,0.02,0,0.01,0.02
2020-04,90.8,6.1,2.4,0.33,0.09,0.09,0.03,0.06,0.03,0.03,0.01,0.02
2020-05,89.04,7.21,3.07,0.27,0.09,0.13,0.04,0.06,0.04,0.01,0.02,0.02
2020-06,89.73,6.62,3.03,0.16,0.12,0.16,0.05,0.07,0.04,0.01,0,0.02
2020-07,88.44,7.13,3.81,0.14,0.11,0.13,0.08,0.07,0.04,0.02,0,0.02
2020-08,87.47,7.06,4.87,0.12,0.11,0.11,0.1,0.06,0.05,0.02,0.01,0.03
2020-09,86.54,7.08,5.7,0.16,0.12,0.13,0.09,0.06,0.06,0.03,0.01,0.02
2020-10,86.51,6.95,5.97,0.1,0.12,0.08,0.09,0.06,0.05,0.03,0.01,0.03
2020-11,85.63,6.89,6.84,0.12,0.13,0.1,0.12,0.06,0.06,0.03,0.01,0.02
2020-12,84.9,6.66,7.75,0.14,0.2,0.08,0.08,0.05,0.07,0.04,0.02,0.02
