"Date","iOS","Android","Samsung","BlackBerry OS","Windows","Unknown","Other"
2020-01,51.37,48.23,0.23,0.09,0.03,0.02,0.02
2020-02,51.56,48.05,0.24,0.08,0.03,0.02,0.02
2020-03,51.53,48.13,0.2,0.07,0.03,0.01,0.02
2020-04,52.15,47.51,0.2,0.06,0.02,0.02,0.03
2020-05,49.95,49.69,0.22,0.07,0.02,0.02,0.03
2020-06,48.83,50.81,0.22,0.07,0.03,0.02,0.02
2020-07,50.02,49.62,0.23,0.07,0.03,0.02,0.02
2020-08,50.39,49.25,0.24,0.06,0.02,0.02,0.02
2020-09,50.89,48.75,0.25,0.05,0.02,0.02,0.02
2020-10,51.47,48.16,0.26,0.06,0.02,0.01,0.02
2020-11,51.53,48.08,0.29,0.06,0.02,0.02,0.02
2020-12,52.08,47.55,0.29,0.04,0.01,0.01,0.02
