"Date","Android","iOS","Samsung","Windows","Unknown","Playstation","Series 40","BlackBerry OS","Firefox OS","Linux","Other"
2020-01,87.38,12.25,0.05,0.25,0.01,0.02,0.01,0.02,0,0,0
2020-02,86.69,12.78,0.09,0.25,0.06,0.01,0.1,0.02,0.01,0,0
2020-03,87.64,11.88,0.1,0.22,0.09,0.02,0,0,0.05,0,0
2020-04,89.24,10.42,0.01,0.23,0.03,0,0.05,0.01,0.01,0,0.01
2020-05,87.15,12.69,0.03,0.1,0.01,0.02,0,0,0,0,0
2020-06,89.3,10.52,0.06,0.09,0.02,0.01,0,0,0,0,0
2020-07,89.03,10.65,0.17,0.09,0.01,0.03,0.01,0.01,0,0,0
2020-08,87.77,11.76,0.12,0.17,0.02,0.02,0,0.01,0,0.11,0
2020-09,88.17,10.81,0.66,0.11,0,0.16,0.01,0.06,0,0,0
2020-10,88.13,11.02,0.59,0.18,0,0,0,0.01,0.01,0.03,0.03
2020-11,86.69,12.7,0.45,0.1,0.01,0.01,0,0.04,0,0.01,0
2020-12,85.35,13.86,0.35,0.31,0.01,0.01,0,0.03,0.07,0,0.01
