"Date","Android","Unknown","iOS","KaiOS","Linux","Samsung","Windows","BlackBerry OS","Series 40","Nokia Unknown","Other"
2020-01,86.83,9.67,3.03,0.06,0.11,0.09,0.12,0.01,0.01,0.03,0.05
2020-02,90.38,5.47,3.79,0.01,0.06,0.06,0.15,0.02,0,0.03,0.03
2020-03,95.99,0.19,3.6,0.07,0.02,0.05,0.06,0.02,0,0,0.01
2020-04,93.75,1.07,4.22,0.22,0.1,0.17,0.18,0.27,0,0,0.01
2020-05,92.36,1.7,5.33,0.24,0.18,0.04,0.01,0.1,0.01,0.02,0
2020-06,91.92,2.24,5.51,0.13,0.09,0.03,0.01,0.03,0,0.04,0
2020-07,88.48,5.41,5.75,0.02,0.07,0.08,0,0.16,0.01,0.02,0
2020-08,87.54,7.59,4.49,0.14,0.07,0.07,0,0.01,0.01,0,0.07
2020-09,85.48,7.29,6.88,0.03,0.07,0.05,0.02,0.01,0.11,0.04,0
2020-10,86.44,7.67,5.41,0.14,0.11,0.13,0.02,0.01,0.05,0.01,0
2020-11,87.21,7.23,5.1,0.26,0.1,0.03,0,0,0.04,0.02,0
2020-12,87.63,8.27,3.84,0.04,0.03,0.11,0,0,0.04,0.02,0.01
