"Date","Android","iOS","Unknown","Series 40","Samsung","Linux","KaiOS","BlackBerry OS","Windows","Nokia Unknown","SymbianOS","LG","Other"
2020-01,87.71,3.82,6.79,0.34,0.32,0.37,0.02,0.06,0.06,0.2,0.13,0.16,0.01
2020-02,92.99,5.03,1.49,0.08,0.05,0.08,0.03,0.11,0.06,0.02,0.02,0.02,0
2020-03,93.63,6.03,0.08,0.04,0,0.02,0.03,0.06,0.1,0,0,0,0
2020-04,90.63,7.98,1.02,0.02,0.06,0.07,0.07,0.05,0.08,0.01,0.02,0.01,0
2020-05,84.23,14.01,1.53,0.04,0.04,0.04,0.01,0.06,0.01,0.01,0.01,0.01,0
2020-06,89.04,8.72,1.94,0.05,0.05,0.04,0.1,0,0.01,0.01,0.01,0.03,0
2020-07,89.55,7.6,2.41,0.08,0.05,0.05,0.13,0.02,0.01,0.03,0.08,0.01,0
2020-08,88.4,8.9,2.42,0.03,0.04,0.03,0.03,0.05,0.04,0.02,0.01,0.02,0
2020-09,91.16,5.5,3.12,0.03,0.02,0.02,0.05,0.05,0.02,0.01,0,0.01,0
2020-10,89.55,8.54,1.51,0.06,0.14,0.02,0.07,0.04,0.03,0.02,0.01,0,0.01
2020-11,88.69,9.52,1.11,0.08,0.06,0.01,0.29,0.18,0.05,0.01,0.01,0,0
2020-12,91.51,6.8,1.36,0.06,0.03,0.02,0.11,0.03,0.05,0.02,0.01,0,0
