"Date","Android","iOS","Samsung","Unknown","Windows","Other"
2020-01,85.23,14.37,0.34,0.01,0.03,0.02
2020-02,85.6,13.95,0.39,0.01,0.02,0.02
2020-03,84.51,15.02,0.4,0.02,0.02,0.02
2020-04,83.32,16.17,0.42,0.03,0.02,0.04
2020-05,84.49,14.92,0.51,0.04,0.01,0.03
2020-06,86.06,13.5,0.39,0.03,0.01,0.02
2020-07,86.31,13.32,0.34,0.01,0.01,0.01
2020-08,87.15,12.61,0.21,0.01,0.01,0.01
2020-09,86.81,13.03,0.14,0.01,0.01,0.01
2020-10,84.14,15.66,0.17,0.01,0,0.01
2020-11,85.09,14.71,0.17,0.01,0.01,0.01
2020-12,85.82,13.96,0.19,0.01,0,0.01
