"Date","Android","iOS","Unknown","Windows","Linux","Other"
2020-01,83.67,15.57,0.67,0.03,0.04,0.02
2020-02,82.82,16.37,0.73,0.03,0.03,0.01
2020-03,81.34,17.83,0.74,0.03,0.04,0.01
2020-04,79.69,19.44,0.78,0.03,0.04,0.02
2020-05,79.39,19.76,0.78,0.02,0.04,0.01
2020-06,78.31,20.68,0.93,0.03,0.04,0.01
2020-07,78.59,20.36,0.92,0.08,0.03,0.02
2020-08,80.45,18.55,0.91,0.05,0.02,0.03
2020-09,80.71,18.28,0.94,0.03,0.02,0.02
2020-10,80.27,18.68,0.99,0.03,0.02,0.02
2020-11,80.23,18.61,1.03,0.09,0.02,0.02
2020-12,80.54,18.38,1.02,0.03,0.02,0.01
