"Date","Android","iOS","Samsung","Windows","Unknown","Playstation","BlackBerry OS","Other"
2020-01,89.91,9.35,0.55,0.13,0.02,0.01,0.02,0.02
2020-02,89.25,9.8,0.73,0.15,0.02,0.01,0.01,0.02
2020-03,88.72,10.31,0.8,0.13,0.02,0.01,0.01,0.01
2020-04,86.92,12.04,0.88,0.09,0.02,0.02,0.01,0.01
2020-05,88.05,11.01,0.85,0.02,0.02,0.01,0.02,0.01
2020-06,88.92,10.34,0.65,0.03,0.02,0.01,0.01,0.02
2020-07,88.3,11.06,0.55,0.03,0.03,0.01,0.01,0.01
2020-08,88.69,10.87,0.34,0.03,0.03,0.01,0.01,0.02
2020-09,88.89,10.79,0.21,0.03,0.03,0.02,0,0.02
2020-10,88.65,11.02,0.26,0.02,0.02,0.01,0.01,0.02
2020-11,89.53,10.13,0.24,0.04,0.02,0.02,0.01,0.02
2020-12,89.63,10.03,0.26,0.02,0.02,0.02,0.01,0.01
