"Date","Android","iOS","Tizen","Windows","Unknown","BlackBerry OS","Linux","Samsung","LG","Nokia Unknown","SymbianOS","Other"
2020-01,95.11,3.96,0.25,0.24,0.12,0.15,0.14,0.01,0,0.01,0,0
2020-02,93.57,5.61,0.03,0.44,0.06,0.19,0.02,0.05,0,0.01,0,0.02
2020-03,95.28,3.77,0.36,0.37,0.19,0.01,0,0,0,0.01,0,0
2020-04,94.8,4.11,0.7,0.27,0.05,0.01,0.01,0.01,0,0.01,0,0.06
2020-05,93.58,5.86,0.28,0,0.04,0,0.01,0.06,0.15,0.01,0.01,0
2020-06,93.44,5.7,0.46,0.01,0.08,0.04,0.06,0,0,0.19,0,0.03
2020-07,94.79,4.55,0,0.11,0.11,0.03,0,0,0.41,0,0,0
2020-08,95.06,4.54,0.02,0.08,0.11,0,0.08,0,0.09,0,0,0.03
2020-09,93.14,6.58,0,0.11,0,0.07,0,0,0,0,0.09,0
2020-10,91.28,8.1,0.04,0.09,0.17,0.03,0.03,0.09,0,0.02,0.13,0.02
2020-11,92.35,7.21,0.08,0.17,0.09,0.01,0.02,0.05,0,0,0,0.02
2020-12,91.45,8.19,0.13,0.02,0.08,0,0.01,0.09,0,0,0,0.02
