"Date","Android","iOS","Unknown","KaiOS","Windows","BlackBerry OS","Series 40","Samsung","Playstation","Linux","Nokia Unknown","LG","SymbianOS","Other"
2020-01,87.05,7.3,3.06,0.48,0.17,0.28,0.83,0.45,0.01,0.12,0.09,0.04,0.08,0.04
2020-02,87.01,9.12,1.97,0.55,0.19,0.33,0.39,0.25,0.03,0.06,0.02,0.02,0.06,0.01
2020-03,91.63,7.1,0.08,0.45,0.2,0.13,0,0.04,0.31,0.01,0,0,0.03,0
2020-04,90.29,7.67,1.02,0.35,0.22,0.23,0.02,0.08,0.02,0.05,0.02,0.02,0.01,0
2020-05,88.3,9.98,0.78,0.41,0.07,0.11,0.05,0.09,0.08,0.11,0.01,0.01,0,0
2020-06,88.9,8.95,0.74,0.42,0.34,0.17,0.03,0.14,0.17,0.05,0.01,0.05,0.02,0
2020-07,89.23,7.98,1.04,0.6,0.43,0.27,0.06,0.11,0.19,0.04,0.01,0.04,0,0
2020-08,90.5,6.84,1.24,0.66,0.22,0.14,0.1,0.14,0.05,0.08,0.02,0.01,0,0.01
2020-09,89.62,7.21,1.38,0.97,0.31,0.11,0.18,0.08,0.06,0.05,0.01,0.02,0,0
2020-10,88.07,8.46,1.5,1.35,0.12,0.12,0.1,0.13,0,0.07,0.01,0.04,0,0.01
2020-11,88.09,9.17,1.36,0.72,0.07,0.27,0.17,0.07,0.02,0.04,0.01,0.01,0,0
2020-12,87.24,9.92,1.27,0.89,0.04,0.25,0.14,0.08,0.04,0.05,0.04,0.02,0.01,0
