"Date","Android","iOS","Samsung","Windows","Playstation","Linux","Series 40","Unknown","Other"
2020-01,79.99,19.79,0.12,0.03,0.02,0.01,0.02,0.01,0.02
2020-02,79.92,19.83,0.13,0.07,0.01,0,0.01,0.01,0.01
2020-03,79.67,20.1,0.12,0.07,0.02,0.01,0,0.01,0
2020-04,79.2,20.57,0.15,0.04,0.02,0.01,0,0.01,0.01
2020-05,80.92,18.72,0.23,0.01,0.01,0.08,0.01,0.02,0.01
2020-06,82.25,17.32,0.23,0.14,0.01,0.02,0.01,0.02,0
2020-07,82.07,17.61,0.24,0.01,0.02,0.01,0.03,0.01,0
2020-08,81.76,17.98,0.19,0.01,0.01,0.01,0.01,0.02,0.01
2020-09,82.12,17.63,0.16,0.02,0.01,0.01,0.02,0.02,0.01
2020-10,80.47,19.32,0.15,0.02,0.01,0,0.02,0.01,0.01
2020-11,81.18,18.53,0.17,0.01,0.05,0.01,0.02,0.02,0.01
2020-12,80.83,18.9,0.19,0.01,0.01,0,0.02,0.02,0.01
