"Date","Android","iOS","Samsung","Windows","Nokia Unknown","Other"
2020-01,90.66,8.82,0.3,0.16,0.02,0.04
2020-02,90.94,8.53,0.34,0.15,0.01,0.03
2020-03,88.37,11.29,0.2,0.13,0,0.01
2020-04,90.72,8.95,0.17,0.15,0,0.01
2020-05,89.43,10.29,0.18,0.07,0.01,0.01
2020-06,89.12,10.6,0.19,0.07,0.01,0.01
2020-07,88.27,11.48,0.16,0.07,0.01,0.02
2020-08,87.1,12.63,0.15,0.07,0.02,0.02
2020-09,86.22,13.46,0.19,0.07,0.04,0.03
2020-10,86.24,13.45,0.23,0.05,0.01,0.02
2020-11,86.2,13.5,0.22,0.04,0.01,0.02
2020-12,84.4,15.28,0.26,0.03,0.01,0.02
