"Date","Android","iOS","Samsung","Windows","Linux","Playstation","BlackBerry OS","Other"
2020-01,85.51,14.26,0.02,0.12,0.05,0.01,0.02,0.02
2020-02,87.36,12.46,0.01,0.1,0.04,0.01,0.02,0.01
2020-03,88.15,11.73,0.01,0.07,0,0.01,0.02,0.01
2020-04,88.32,11.45,0.13,0.04,0.03,0.01,0.01,0.01
2020-05,87.61,12.28,0.02,0.02,0.03,0.01,0.01,0.02
2020-06,87.67,12.15,0.04,0.08,0.02,0.01,0.01,0.01
2020-07,88.15,11.64,0.05,0.05,0.02,0.05,0.02,0.02
2020-08,89.2,10.64,0.03,0.05,0.04,0.01,0.02,0.01
2020-09,90.34,9.45,0.07,0.02,0.06,0.02,0.01,0.02
2020-10,91.04,8.65,0.09,0.04,0.03,0.11,0.01,0.02
2020-11,89.79,10.03,0.08,0.05,0.02,0.02,0.01,0.01
2020-12,89.56,10.23,0.08,0.03,0.04,0.02,0.02,0.02
