"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,78.71,21.06,0.14,0.04,0.02,0.02
2020-02,76.96,22.73,0.12,0.11,0.06,0.02
2020-03,77.24,22.45,0.23,0.03,0.03,0.02
2020-04,76.8,23.01,0.12,0.03,0.03,0.01
2020-05,77.96,21.85,0.13,0.02,0.03,0.01
2020-06,78.51,21.29,0.12,0.03,0.03,0.03
2020-07,78.03,21.77,0.13,0.03,0.03,0.02
2020-08,78.07,21.75,0.12,0.04,0.01,0.02
2020-09,78.26,21.51,0.16,0.04,0.02,0.01
2020-10,76.74,23.05,0.16,0.02,0.02,0.02
2020-11,76.17,23.58,0.21,0.02,0.01,0.01
2020-12,75.35,24.42,0.19,0.01,0.01,0.01
