"Date","Android","iOS","Samsung","Windows","BlackBerry OS","Nokia Unknown","Unknown","SymbianOS","Other"
2020-01,78.6,20.79,0.17,0.21,0.05,0.03,0.04,0.04,0.06
2020-02,78.21,21.21,0.2,0.22,0.04,0.02,0.02,0.02,0.05
2020-03,79.56,20.11,0.12,0.14,0.03,0,0.01,0,0.02
2020-04,78.47,21.23,0.13,0.1,0.03,0.01,0.01,0,0.02
2020-05,80.03,19.63,0.16,0.07,0.03,0.03,0.01,0,0.02
2020-06,80.85,18.81,0.18,0.07,0.03,0.02,0.01,0,0.02
2020-07,80.73,18.93,0.17,0.09,0.03,0.02,0.01,0,0.02
2020-08,80.67,18.98,0.17,0.09,0.03,0.02,0.01,0.01,0.03
2020-09,80.66,18.95,0.2,0.08,0.03,0.03,0.01,0.01,0.04
2020-10,76.12,23.56,0.18,0.05,0.02,0.02,0.01,0.02,0.02
2020-11,75.78,23.87,0.21,0.05,0.03,0.02,0.01,0.02,0.02
2020-12,76.18,23.44,0.24,0.04,0.02,0.02,0.01,0.02,0.03
