"Date","Android","iOS","Unknown","LG","Windows","BlackBerry OS","Samsung","Firefox OS","Nokia Unknown","Series 40","Linux","KaiOS","SymbianOS","Playstation","Other"
2020-01,81.52,9.81,7.63,0.23,0.18,0.09,0.15,0.05,0.08,0.12,0.04,0.02,0.04,0.01,0.01
2020-02,84.31,11.03,3.94,0.12,0.17,0.08,0.08,0.07,0.04,0.03,0.04,0.02,0.04,0.01,0
2020-03,87.92,11.2,0.43,0.01,0.13,0.14,0.01,0.04,0,0.01,0,0.04,0.04,0.02,0
2020-04,84.51,14.05,1.04,0.04,0.14,0.11,0.02,0.02,0,0,0.02,0.02,0,0.02,0
2020-05,83.11,15.12,1.41,0.04,0.08,0.08,0.05,0.02,0.01,0.01,0.04,0.02,0,0.02,0
2020-06,82.77,15.32,1.51,0.04,0.06,0.14,0.04,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0
2020-07,81.18,16.3,2.14,0.07,0.05,0.04,0.06,0.03,0.03,0.02,0.03,0.03,0.01,0.02,0
2020-08,80.13,16.85,2.58,0.11,0.03,0.05,0.06,0.04,0.04,0.02,0.03,0.02,0.01,0.02,0
2020-09,79.19,16.91,3.37,0.12,0.03,0.05,0.12,0.03,0.06,0.03,0.05,0.02,0,0.02,0
2020-10,78.53,18.37,2.64,0.07,0.03,0.07,0.08,0.04,0.08,0.02,0.02,0.03,0,0.01,0
2020-11,78.32,17.62,3.69,0.07,0.03,0.03,0.06,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0
2020-12,78.16,17.83,3.6,0.1,0.01,0.03,0.09,0.05,0.01,0.03,0.02,0.03,0,0.01,0.02
