"Date","Android","Unknown","iOS","Linux","Samsung","Windows","KaiOS","BlackBerry OS","Series 40","Nokia Unknown","SymbianOS","Other"
2020-01,62.4,32.31,3.53,0.65,0.42,0.18,0.06,0.08,0.18,0.07,0.09,0.02
2020-02,72.78,20.11,5.27,0.53,0.42,0.34,0.1,0.15,0.16,0.06,0.05,0.05
2020-03,86.8,2.07,9.91,0.07,0.37,0.46,0.11,0.13,0.03,0,0.04,0.02
2020-04,83.26,6.17,9.07,0.48,0.5,0.29,0.07,0.06,0.03,0.03,0,0.04
2020-05,82.39,6.82,9.47,0.5,0.4,0.12,0.08,0.1,0.04,0.04,0,0.03
2020-06,82.06,8.25,8.41,0.57,0.28,0.09,0.1,0.13,0.04,0.03,0,0.02
2020-07,76.83,14.3,7.64,0.52,0.31,0.08,0.1,0.11,0.05,0.03,0.01,0.02
2020-08,73.7,17.95,7.17,0.41,0.37,0.08,0.13,0.05,0.05,0.05,0.01,0.03
2020-09,75.07,16.57,7.26,0.4,0.35,0.11,0.1,0.05,0.04,0.04,0.01,0.02
2020-10,73.56,18.11,7.31,0.34,0.29,0.08,0.14,0.06,0.06,0.05,0,0.01
2020-11,74.17,17.79,7.04,0.36,0.2,0.09,0.14,0.11,0.03,0.04,0.01,0.01
2020-12,76.12,15.8,6.92,0.32,0.27,0.1,0.25,0.12,0.04,0.03,0.01,0.03
