"Date","Android","iOS","BlackBerry OS","Samsung","Windows","Linux","Other"
2020-01,87.78,11.87,0.14,0.05,0.15,0,0.02
2020-02,84.7,14.96,0.15,0.06,0.08,0.04,0.01
2020-03,85.69,13.79,0.22,0.24,0.06,0,0
2020-04,86.19,13.26,0.28,0.12,0.15,0,0
2020-05,90.22,9.72,0.01,0.03,0.02,0,0
2020-06,80.81,19.14,0,0.03,0.02,0,0
2020-07,90.38,9.4,0,0.11,0.03,0.08,0
2020-08,87.89,11.95,0,0.12,0.03,0.01,0
2020-09,89.42,10.21,0,0.06,0,0.3,0
2020-10,87.82,12,0,0.06,0.01,0.1,0
2020-11,87.47,12.32,0,0.16,0.04,0,0.01
2020-12,84.07,15.85,0,0.07,0,0,0
