"Date","Android","iOS","Samsung","Windows","Playstation","Other"
2020-01,73.93,25.78,0.12,0.13,0.01,0.03
2020-02,74.79,24.89,0.13,0.15,0.01,0.03
2020-03,74.75,24.91,0.21,0.1,0.01,0.03
2020-04,71.24,28.42,0.23,0.08,0.01,0.02
2020-05,75.2,24.49,0.24,0.04,0.02,0.01
2020-06,76.52,23.17,0.23,0.04,0.03,0.02
2020-07,76.49,23.22,0.2,0.05,0.02,0.02
2020-08,75.53,24.25,0.17,0.03,0.01,0.01
2020-09,75.39,24.39,0.15,0.04,0.02,0.01
2020-10,75.25,24.55,0.14,0.03,0.01,0.01
2020-11,75.08,24.71,0.15,0.03,0.01,0.01
2020-12,74.83,24.96,0.18,0.01,0.02,0.01
