"Date","Android","iOS","Samsung","Windows","Playstation","Unknown","Nokia Unknown","BlackBerry OS","Series 40","Other"
2020-01,87.02,11.99,0.53,0.26,0.02,0.03,0.04,0.03,0.07,0.03
2020-02,87.46,11.53,0.64,0.27,0.02,0.02,0.01,0.02,0.01,0.02
2020-03,87.05,11.87,0.81,0.19,0.03,0.02,0,0.02,0,0.01
2020-04,86.43,12.59,0.73,0.15,0.03,0.02,0.02,0.02,0.01,0.01
2020-05,86.05,13.05,0.72,0.06,0.04,0.03,0.02,0.01,0.01,0.01
2020-06,87.13,12.16,0.53,0.07,0.04,0.02,0.01,0.01,0.01,0.01
2020-07,87.17,12.25,0.44,0.07,0.03,0.02,0.01,0.01,0.01,0.01
2020-08,86.92,12.51,0.37,0.07,0.07,0.01,0.02,0.01,0.01,0.01
2020-09,87.91,11.61,0.29,0.1,0.04,0.01,0.02,0.01,0.01,0.01
2020-10,87.5,12.07,0.34,0.04,0.03,0.01,0.01,0.01,0.01,0.01
2020-11,88.71,10.83,0.34,0.05,0.03,0.01,0.01,0.01,0.01,0
2020-12,88.34,11.17,0.37,0.04,0.04,0.01,0.01,0.01,0.01,0
