"Date","Android","iOS","Windows","Samsung","Nokia Unknown","Series 40","Unknown","Other"
2020-01,88.73,10.77,0.24,0.06,0.09,0.06,0.02,0.02
2020-02,89.36,10.16,0.31,0.08,0.03,0.03,0.01,0.02
2020-03,86.09,13.64,0.21,0.04,0,0,0.01,0.01
2020-04,84.58,15.21,0.11,0.05,0.01,0.01,0.01,0.02
2020-05,85.86,13.95,0.08,0.05,0.02,0.02,0.02,0.02
2020-06,82.89,16.9,0.07,0.07,0.02,0.02,0.02,0.01
2020-07,87.69,12.05,0.06,0.11,0.03,0.03,0.02,0.01
2020-08,89.48,10.34,0.04,0.06,0.02,0.02,0.02,0.01
2020-09,90.65,9.2,0.04,0.06,0.01,0.01,0.02,0.01
2020-10,90.48,9.37,0.03,0.08,0.01,0.01,0.01,0.01
2020-11,90.6,9.24,0.03,0.1,0.01,0.01,0.01,0.01
2020-12,91.54,8.25,0.02,0.16,0,0.01,0.01,0.01
