"Date","Android","iOS","Samsung","Windows","Unknown","Playstation","Other"
2020-01,90.42,9.27,0.15,0.07,0.03,0.02,0.04
2020-02,90.24,9.4,0.15,0.15,0.03,0.02,0.02
2020-03,90.35,9.33,0.15,0.12,0.01,0.03,0.01
2020-04,89.99,9.73,0.18,0.03,0.03,0.02,0.01
2020-05,89.03,10.59,0.27,0.02,0.05,0.03,0.02
2020-06,89.42,10.18,0.27,0.02,0.06,0.03,0.02
2020-07,89.4,10.24,0.21,0.08,0.03,0.02,0.02
2020-08,89.47,10.22,0.17,0.01,0.03,0.08,0.01
2020-09,89.64,10.12,0.1,0.07,0.02,0.02,0.02
2020-10,88,11.72,0.16,0.02,0.04,0.05,0.02
2020-11,89.08,10.58,0.22,0.03,0.05,0.03,0.02
2020-12,88.59,11.09,0.21,0.01,0.04,0.03,0.02
