"Date","Android","iOS","Samsung","Playstation","Windows","Linux","BlackBerry OS","Unknown","Other"
2020-01,90.18,9.44,0.07,0.18,0.09,0.01,0.01,0.01,0.02
2020-02,89.4,10.05,0.03,0,0.44,0.02,0.03,0.02,0.01
2020-03,89.47,10.11,0.07,0.06,0.26,0.01,0.01,0.01,0
2020-04,83.69,14.21,1.76,0.08,0.06,0,0.09,0.01,0.1
2020-05,84.46,14.83,0.5,0.12,0.03,0,0.03,0.03,0
2020-06,86.95,12.51,0.26,0.18,0.01,0,0.05,0.01,0.04
2020-07,86.68,12.68,0.22,0.33,0.06,0.01,0,0.01,0.01
2020-08,85.49,14.08,0.2,0.15,0.03,0.02,0.01,0.02,0.01
2020-09,87.13,12,0.53,0.05,0.04,0.2,0,0.01,0.03
2020-10,85.29,13.62,0.47,0.26,0.03,0.22,0.08,0.01,0.01
2020-11,85.34,13.6,0.87,0.09,0.02,0,0.07,0,0
2020-12,86.32,12.81,0.8,0.02,0,0,0,0.04,0.01
