"Date","Android","Unknown","iOS","Linux","Series 40","Nokia Unknown","Samsung","SymbianOS","BlackBerry OS","LG","Windows","Other"
2020-01,88.11,0,11.89,0,0,0,0,0,0,0,0,0
2020-02,98.29,0,1.61,0,0,0,0,0.11,0,0,0,0
2020-03,93.68,0,5.37,0,0,0,0,0,0,0,0.95,0
2020-04,97.24,0,2.76,0,0,0,0,0,0,0,0,0
2020-05,97.92,0,2.08,0,0,0,0,0,0,0,0,0
2020-06,82.22,0.49,17.04,0,0.25,0,0,0,0,0,0,0
2020-07,93.74,0.17,5.91,0,0.17,0,0,0,0,0,0,0
2020-08,96.85,0.27,2.87,0,0,0,0,0,0,0,0,0
2020-09,91.59,0.49,7.92,0,0,0,0,0,0,0,0,0
2020-10,83.9,10.44,3.44,0.73,0.75,0.35,0.26,0.09,0.01,0.02,0.02,0
2020-11,82.47,12.12,3.29,0.68,0.73,0.46,0.11,0.06,0.03,0.04,0.01,0
2020-12,85.94,8.93,3.22,0.74,0.66,0.24,0.07,0.11,0.04,0.02,0.02,0
