"Date","Android","iOS","Samsung","Unknown","Windows","Nokia Unknown","Other"
2020-01,66.97,32.29,0.62,0.01,0.06,0.04,0.01
2020-02,67.68,31.7,0.52,0,0.05,0.02,0.02
2020-03,65.6,33.59,0.71,0.01,0.07,0.01,0.02
2020-04,64.61,34.69,0.61,0.01,0.08,0,0
2020-05,69,30.32,0.62,0,0.04,0,0.02
2020-06,71.33,28.16,0.45,0.01,0.04,0,0
2020-07,69.42,29.78,0.7,0,0.06,0.02,0.02
2020-08,69.04,29.87,0.75,0.27,0.05,0.01,0.01
2020-09,69.26,29.9,0.71,0.08,0.03,0.01,0.01
2020-10,66.51,32.82,0.63,0,0.02,0,0.01
2020-11,66.97,32.3,0.61,0.08,0.03,0.01,0
2020-12,67.87,31.36,0.58,0.16,0.02,0,0
