"Date","Android","iOS","Unknown","Series 40","Linux","Nokia Unknown","Samsung","Windows","SymbianOS","LG","BlackBerry OS","Other"
2020-01,86.8,4.41,4.66,1.98,0.55,0.79,0.16,0.25,0.23,0.12,0.03,0.02
2020-02,87.56,4.91,5.06,1.02,0.47,0.41,0.15,0.21,0.12,0.07,0.01,0.01
2020-03,91.44,5.99,1.53,0.2,0.27,0.07,0.1,0.28,0.08,0.01,0.01,0.02
2020-04,83.24,4.89,9.83,0.94,0.35,0.32,0.15,0.13,0.05,0.06,0.01,0.02
2020-05,85.94,4.2,7.58,0.96,0.56,0.36,0.19,0.04,0.09,0.07,0.01,0.01
2020-06,89.04,4.9,4.08,0.65,0.68,0.29,0.15,0.04,0.08,0.06,0.01,0.02
2020-07,89.95,5.14,2.95,0.61,0.71,0.23,0.21,0.07,0.06,0.04,0.01,0.03
2020-08,89.28,4.87,3.82,0.67,0.61,0.29,0.2,0.06,0.08,0.06,0.04,0.02
2020-09,88.57,5.03,4.67,0.57,0.45,0.3,0.22,0.03,0.06,0.07,0.04,0.01
2020-10,88.9,5.58,3.83,0.55,0.48,0.27,0.23,0.03,0.06,0.05,0.01,0.02
2020-11,88.75,6.52,2.86,0.5,0.58,0.32,0.31,0.01,0.04,0.07,0.01,0.03
2020-12,89.7,5.62,2.77,0.58,0.68,0.22,0.27,0.02,0.06,0.04,0.02,0.02
