"Date","Android","iOS","Samsung","Windows","Linux","Unknown","Nokia Unknown","BlackBerry OS","Series 40","Other"
2020-01,72.58,26.77,0.24,0.23,0.06,0.04,0.02,0.02,0.02,0.02
2020-02,71.89,27.55,0.23,0.19,0.05,0.03,0.02,0.02,0.01,0.02
2020-03,71.77,27.72,0.23,0.18,0.03,0.03,0,0.02,0,0.02
2020-04,70.43,29.18,0.18,0.12,0.01,0.03,0.01,0.02,0.01,0.02
2020-05,70.88,28.73,0.22,0.06,0.03,0.02,0.01,0.02,0.01,0.02
2020-06,73.32,26.25,0.24,0.07,0.04,0.02,0.01,0.01,0.01,0.01
2020-07,73.87,25.71,0.23,0.08,0.04,0.02,0.02,0.01,0.02,0.01
2020-08,73.18,26.39,0.25,0.07,0.04,0.02,0.02,0.01,0.02,0.01
2020-09,72.86,26.67,0.27,0.07,0.06,0.02,0.02,0.01,0.01,0.01
2020-10,67.81,31.77,0.25,0.06,0.04,0.01,0.01,0.01,0.01,0.01
2020-11,68.2,31.42,0.25,0.05,0.02,0.02,0.01,0.01,0.01,0.01
2020-12,68.33,31.31,0.24,0.04,0.01,0.02,0.01,0.01,0.01,0.01
