"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,90.27,9.59,0.02,0.06,0.04,0.02
2020-02,91.09,8.78,0.02,0.09,0.01,0.01
2020-03,92.62,7.22,0.04,0.11,0.01,0
2020-04,92.51,7.41,0.02,0.03,0.02,0.01
2020-05,93.28,6.62,0.04,0.02,0.01,0.03
2020-06,92.81,7.11,0.03,0.02,0.01,0.01
2020-07,92.68,7.23,0.03,0.02,0.03,0.01
2020-08,93.14,6.69,0.06,0.03,0.06,0.01
2020-09,93.23,6.53,0.06,0.03,0.13,0.02
2020-10,93.44,6.37,0.1,0.01,0.07,0.01
2020-11,93.51,6.34,0.06,0.01,0.07,0.01
2020-12,94.09,5.77,0.11,0.01,0,0.01
