"Date","Android","iOS","Samsung","Windows","Nokia Unknown","KaiOS","Unknown","Other"
2020-01,72.85,26.75,0.16,0.15,0.02,0,0.02,0.04
2020-02,72.53,27.08,0.15,0.15,0.04,0.01,0.02,0.02
2020-03,73.13,26.53,0.18,0.12,0,0.01,0.01,0.02
2020-04,72.3,27.38,0.12,0.09,0.05,0.02,0.02,0.03
2020-05,72.14,27.6,0.14,0.05,0.02,0.02,0.01,0.01
2020-06,74.78,24.91,0.18,0.07,0.01,0.02,0.01,0.02
2020-07,73.67,25.88,0.25,0.11,0.04,0.01,0.01,0.03
2020-08,73.83,25.85,0.2,0.05,0.03,0.01,0.01,0.02
2020-09,73.64,26.03,0.2,0.07,0.04,0.01,0,0.01
2020-10,67.82,31.85,0.19,0.05,0.05,0.01,0.01,0.01
2020-11,66.57,33.11,0.21,0.05,0.04,0.02,0,0.01
2020-12,66.46,33.17,0.24,0.04,0.04,0.02,0,0.01
