"Date","Android","iOS","Samsung","Windows","Unknown","BlackBerry OS","SymbianOS","Other"
2020-01,71.03,28.47,0.1,0.15,0.11,0.07,0.02,0.04
2020-02,71.66,27.92,0.12,0.13,0.08,0.04,0.02,0.04
2020-03,72.1,27.49,0.13,0.12,0.07,0.05,0.02,0.03
2020-04,68.36,31.21,0.11,0.1,0.08,0.06,0.03,0.05
2020-05,69.33,30.34,0.12,0.06,0.06,0.04,0.02,0.04
2020-06,73.5,26.21,0.12,0.07,0.05,0.02,0.01,0.02
2020-07,72.49,27.17,0.21,0.06,0.04,0.01,0,0.02
2020-08,71.55,27.99,0.31,0.06,0.05,0.01,0,0.02
2020-09,73.72,25.98,0.19,0.04,0.04,0.01,0,0.02
2020-10,69.11,30.67,0.13,0.03,0.04,0.01,0,0.01
2020-11,67.13,32.65,0.14,0.03,0.04,0.01,0,0.02
2020-12,67.54,32.2,0.16,0.02,0.05,0.01,0,0.01
