"Date","Android","iOS","Samsung","Playstation","Windows","Unknown","Other"
2020-01,77.43,22.49,0.01,0.02,0.02,0.02,0.01
2020-02,77.76,22.07,0.05,0.11,0.01,0,0.01
2020-03,74.3,25.6,0.04,0.02,0.04,0,0
2020-04,76.32,23.58,0.05,0.01,0.01,0.03,0
2020-05,77.55,22.38,0.03,0.02,0,0.01,0.01
2020-06,79.64,20.25,0.04,0.02,0.01,0.03,0.01
2020-07,79.47,20.27,0.21,0,0.02,0.01,0.02
2020-08,78.37,21.15,0.43,0,0,0,0.04
2020-09,75.83,23.97,0.14,0.01,0.01,0.01,0.03
2020-10,73.57,26.26,0.12,0.03,0.01,0,0.01
2020-11,77.05,22.83,0.06,0.02,0.01,0.01,0.02
2020-12,77.59,22.24,0.14,0.02,0,0.01,0
