"Date","Android","iOS","Unknown","Windows","Samsung","BlackBerry OS","Playstation","Linux","Series 40","LG","Nokia Unknown","Other"
2020-01,90.63,5.67,1.5,0.79,0.4,0.37,0.02,0.19,0.25,0.06,0.09,0.02
2020-02,90.62,6.88,0.84,0.68,0.17,0.35,0.08,0.23,0.09,0.03,0.03,0.01
2020-03,90.26,8.58,0.05,0.78,0.04,0.15,0.1,0.01,0.01,0,0,0.02
2020-04,91.14,7.9,0.15,0.38,0.11,0.16,0.03,0.04,0.01,0.05,0.01,0.03
2020-05,90.89,8.43,0.22,0.15,0.11,0.05,0.05,0.05,0.01,0.03,0.02,0.01
2020-06,89.98,9.2,0.23,0.11,0.14,0.11,0.12,0.03,0,0.05,0.02,0.01
2020-07,91.06,7.86,0.39,0.18,0.13,0.1,0.17,0.04,0.02,0.01,0.01,0.02
2020-08,91.31,7.36,0.55,0.11,0.1,0.06,0.36,0.08,0.03,0.02,0.02,0.01
2020-09,90.27,8.66,0.46,0.08,0.12,0.1,0.12,0.1,0.06,0.01,0.02,0.01
2020-10,90.91,8.22,0.3,0.07,0.19,0.09,0.11,0.07,0,0.01,0.01,0.01
2020-11,91.48,7.45,0.32,0.07,0.32,0.11,0.06,0.05,0.04,0.03,0.04,0.02
2020-12,92.14,6.96,0.27,0.07,0.24,0.07,0.02,0.04,0.11,0.02,0.03,0.02
