"Date","Android","iOS","Unknown","Windows","Linux","Samsung","Series 40","BlackBerry OS","Sony Ericsson","Nokia Unknown","Other"
2020-01,84.9,12.59,0.62,0.87,0.32,0.18,0.4,0.06,0.01,0.03,0.03
2020-02,85.24,12.67,0.44,0.81,0.32,0.05,0.26,0.13,0,0.04,0.04
2020-03,82.81,16.05,0.05,0.69,0.22,0.03,0,0.1,0,0,0.03
2020-04,82.04,17.11,0.09,0.4,0.16,0.03,0.06,0.05,0,0.01,0.05
2020-05,80.73,18.37,0.14,0.25,0.24,0.07,0.12,0.03,0,0.01,0.03
2020-06,81.46,17.66,0.11,0.1,0.35,0.14,0.11,0.03,0.01,0.01,0.02
2020-07,79.64,19.21,0.09,0.11,0.57,0.23,0.02,0.08,0.01,0.01,0.03
2020-08,80.13,19.13,0.13,0.05,0.19,0.24,0.1,0.01,0,0,0.01
2020-09,83.98,15.05,0.2,0.13,0.17,0.28,0.05,0.04,0.01,0.02,0.06
2020-10,81.72,17.2,0.45,0.12,0.13,0.21,0.08,0.03,0.01,0.01,0.04
2020-11,80.32,17.9,0.75,0.09,0.23,0.48,0.06,0.07,0.08,0.01,0.01
2020-12,82.25,16.03,0.83,0.08,0.13,0.48,0.07,0.03,0.05,0.02,0.04
