"Date","Android","iOS","Samsung","Windows","Series 40","Unknown","BlackBerry OS","Other"
2020-01,70.36,28.91,0.48,0.13,0.02,0.02,0.02,0.06
2020-02,70.39,28.92,0.46,0.12,0.02,0.02,0.02,0.05
2020-03,70.03,29.19,0.54,0.12,0.02,0.03,0.02,0.05
2020-04,70.05,29.28,0.43,0.09,0.02,0.03,0.02,0.08
2020-05,69.64,29.74,0.43,0.05,0.02,0.03,0.02,0.06
2020-06,71.71,27.69,0.45,0.05,0.03,0.02,0.02,0.04
2020-07,71.8,27.59,0.46,0.06,0.03,0.01,0.01,0.04
2020-08,71.84,27.47,0.52,0.07,0.03,0.02,0.02,0.04
2020-09,70.3,29.05,0.46,0.07,0.03,0.02,0.02,0.06
2020-10,63.99,35.48,0.43,0.03,0.02,0.01,0.01,0.03
2020-11,64.64,34.75,0.5,0.03,0.03,0.01,0.01,0.03
2020-12,64.22,35.25,0.43,0.02,0.03,0.01,0.01,0.02
