"Date","Android","iOS","Unknown","Windows","Series 40","Linux","BlackBerry OS","Samsung","Nokia Unknown","Tizen","SymbianOS","KaiOS","Other"
2020-01,86.89,8.15,2.25,0.84,0.98,0.18,0.12,0.1,0.24,0.08,0.09,0.02,0.05
2020-02,85.33,10.96,1.6,0.91,0.49,0.14,0.14,0.08,0.15,0.1,0.05,0.02,0.03
2020-03,84.22,13.94,0.08,1.32,0.02,0.05,0.15,0.04,0,0.12,0.01,0.02,0.01
2020-04,84.77,12.91,0.95,0.81,0.16,0.07,0.11,0.05,0.04,0.07,0.02,0.02,0.02
2020-05,84.32,13.42,1.27,0.38,0.16,0.11,0.12,0.04,0.04,0.08,0.01,0.02,0.02
2020-06,84.42,13.27,1.31,0.28,0.21,0.14,0.1,0.08,0.06,0.07,0.02,0.02,0.02
2020-07,84.21,13.74,1.27,0.18,0.15,0.13,0.09,0.08,0.04,0.06,0.01,0.01,0.02
2020-08,83.21,14.59,1.45,0.13,0.17,0.11,0.1,0.07,0.05,0.05,0.02,0.01,0.03
2020-09,85.2,12.73,1.46,0.12,0.13,0.09,0.08,0.07,0.05,0.03,0.01,0.01,0.02
2020-10,84.52,13.37,1.45,0.13,0.13,0.11,0.07,0.12,0.04,0.02,0.02,0.01,0.01
2020-11,84.04,13.64,1.51,0.27,0.14,0.1,0.09,0.12,0.04,0.03,0.01,0.01,0.01
2020-12,84.87,13.13,1.37,0.12,0.16,0.07,0.05,0.11,0.04,0.05,0.02,0.01,0.01
