"Date","Android","iOS","Samsung","Linux","Windows","Unknown","Nokia Unknown","Other"
2020-01,87.12,10.91,0.74,0.5,0.58,0.08,0.04,0.03
2020-02,84.39,12.35,1.57,1.23,0.31,0.1,0.03,0.02
2020-03,85.5,12.72,0.85,0.5,0.3,0.11,0,0.01
2020-04,85.53,13.63,0.36,0.02,0.27,0.13,0.04,0.02
2020-05,84.29,12.97,1.62,0.76,0.2,0.12,0.03,0.02
2020-06,83.8,12.51,2.41,0.9,0.14,0.19,0.03,0.02
2020-07,84.02,13.28,1.18,1.15,0.15,0.18,0.02,0.02
2020-08,83.81,13.61,1.05,1.2,0.14,0.07,0.08,0.03
2020-09,83.53,13.58,1.46,1.16,0.11,0.09,0.05,0.02
2020-10,84.02,14.06,0.98,0.69,0.1,0.11,0.03,0.02
2020-11,84.29,14.77,0.55,0,0.11,0.22,0.03,0.02
2020-12,84.73,14.59,0.34,0,0.1,0.2,0.03,0.02
