"Date","Android","iOS","Samsung","Nokia Unknown","Windows","Other"
2020-01,54.05,45.55,0.27,0.05,0.04,0.05
2020-02,57.14,42.6,0.11,0.03,0,0.12
2020-03,59.94,39.94,0.04,0,0.02,0.04
2020-04,64.6,35.35,0.04,0,0,0.01
2020-05,61.04,38.82,0.06,0.05,0,0.03
2020-06,50.49,49.35,0.15,0,0,0.01
2020-07,52.54,47.35,0.07,0,0.03,0.01
2020-08,53.36,46.39,0.23,0.01,0,0.01
2020-09,55.18,44.66,0.11,0.01,0.04,0.01
2020-10,48.72,51.04,0.22,0,0.01,0.01
2020-11,56.33,43.46,0.15,0.04,0.01,0.01
2020-12,62.7,37.16,0.08,0.02,0,0.03
